# http://fitlayout.github.io/resource/art3 -> https://www.imdb.com/title/tt0285331/fullcredits/
character=Jack Bauer	name=Kiefer Sutherland	episodes=195 episodes, 2001-2010 	
character=Vice President Jim Prescott	name=Alan Dale	episodes=8 episodes, 2003-2004 	
character=Dmitri Gredenko	name=Rade Serbedzija	episodes=8 episodes, 2007 	
character=Farhad Hassan	name=Akbar Kurtha	episodes=8 episodes, 2010 	
character=Nabeel	name=Hrach Titizian	episodes=7 episodes, 2007-2010 	
character=Robin Powers	name=Tony Wayne	episodes=4 episodes, 2002-2007 	
character=Rasheed	name=Henry Kingi Jr.	episodes=2 episodes, 2004-2009 	
character=Gary Matheson	name=Billy Burke	episodes=7 episodes, 2002-2003 	
character=Greg Seaton	name=Rory Cochrane	episodes=7 episodes, 2009 	
character=Sergei Bazhaev	name=Jürgen Prochnow	episodes=7 episodes, 2010 	
character=Mikhail Novakovich	name=Graham McTavish	episodes=7 episodes, 2010 	
character=Marianne Taylor	name=Aisha Tyler	episodes=7 episodes, 2005 	
character=Julia Milliken	name=Gina Torres	episodes=7 episodes, 2004 	
character=Miguel	name=Innis Casey	episodes=7 episodes, 2002-2003 	
character=Hamri Al-Assad	name=Alexander Siddig	episodes=7 episodes, 2007 	
character=Dr. Marc Besson	name=Thomas Vincent Kelly	episodes=7 episodes, 2005-2006 	
character=Senator Blaine Mayer	name=Kurtwood Smith	episodes=6 episodes, 2009 	
character=Alexis Drazen	name=Misha Collins	episodes=7 episodes, 2002 	
character=Reporter	name=Mark Thompson	episodes=7 episodes, 2003-2006 	
character=Brian Gedge	name=Warren Kole	episodes=6 episodes, 2009 	
character=Mandy	name=Mia Kirshner	episodes=5 episodes, 2001-2005 	
character=General Benjamin Juma	name=Tony Todd	episodes=4 episodes, 2004-2009 	
character=Kevin	name=Ryan Moore	episodes=2 episodes, 2002-2004 	
character=CTU Agent Brian Pierson	name=Brian Durkin	episodes=1 episode, 2003-2004 	
character=Alberta Green	name=Tamara Tunie	episodes=6 episodes, 2002 	
character=Dan Mounts	name=Matthew Carey	episodes=6 episodes, 2001 	
character=Richard Heller	name=Logan Marshall-Green	episodes=6 episodes, 2005 	
character=Yusuf Auda	name=Donnie Keshawarz	episodes=6 episodes, 2003 	
character=Diane Huxley	name=Connie Britton	episodes=6 episodes, 2006 	
character=Janet York	name=Jacqui Maxwell	episodes=6 episodes, 2001 	
character=Ule Matobo	name=Isaach De Bankolé	episodes=6 episodes, 2009 	
character=Kyle Singer	name=Riley Smith	episodes=6 episodes, 2003 	
character=Derek Huxley	name=Brady Corbet	episodes=6 episodes, 2006 	
character=James Nathanson	name=Geraint Wyn Davies	episodes=6 episodes, 2006 	
character=Vice President Hal Gardner	name=Ray Wise	episodes=6 episodes, 2006 	
character=Agent Owen	name=Julian Morris	episodes=6 episodes, 2010 	
character=Nicole Palmer	name=Megalyn Echikunwoke	episodes=6 episodes, 2001-2002 	
character=Cara Bowden	name=Amy Price-Francis	episodes=6 episodes, 2009 	
character=Spenser Wolff	name=Jonah Lotan	episodes=6 episodes, 2006 	
character=Melanie	name=Navi Rawat	episodes=6 episodes, 2002 	
character=Meredith Reed	name=Jennifer Westfeldt	episodes=6 episodes, 2010 	
character=Josef Bazhaev	name=David Anders	episodes=6 episodes, 2010 	
character=Ivan Erwich	name=Mark Sheppard	episodes=6 episodes, 2006 	
character=Dr. Arthur Welton	name=Jim Holmes	episodes=6 episodes, 2007 	
character=Gerry Whitehorn	name=Jamie McShane	episodes=6 episodes, 2003-2004 	
character=Anya Suvarov	name=Kathleen Gati	episodes=6 episodes, 2006-2007 	
character=Angela Nelson	name=Lesley Fera	episodes=6 episodes, 2009-2010 	
character=Agent Dan	name=Jamison Jones	episodes=6 episodes, 2003-2007 	
character=Melinda	name=Jolene Kim	episodes=6 episodes, 2007 	
character=Rick Garcia	name=Rick Garcia	episodes=6 episodes, 2002-2006 	
character=Walid Al-Rezani	name=Harry Lennix	episodes=5 episodes, 2007 	
character=Nick Coughlin	name=Michael Filipowich	episodes=5 episodes, 2010 	
character=Jonathan Matijevich	name=Rudolf Martin	episodes=5 episodes, 2001-2002 	
character=Jane Saunders	name=Alexandra Lydon	episodes=5 episodes, 2004 	
character=Eli Stram	name=Silas Weir Mitchell	episodes=5 episodes, 2002 	
character=Shari Rothenberg	name=Kate Mara	episodes=5 episodes, 2006 	
character=Erika	name=Ever Carradine	episodes=5 episodes, 2009 	
character=Paula Schaeffer	name=Sara Gilbert	episodes=5 episodes, 2002 	
character=Dr. Nicole Duncan	name=Andrea Thompson	episodes=5 episodes, 2003-2004 	
character=Samantha Roth	name=Carly Pope	episodes=5 episodes, 2009 	
character=Joe Stevens	name=Mark Derwin	episodes=5 episodes, 2009 	
character=Syed Ali	name=Francesco Quinn	episodes=5 episodes, 2003 	
character=Omar	name=Tony Plana	episodes=5 episodes, 2005 	
character=Brad Hammond	name=Randle Mell	episodes=5 episodes, 2003-2004 	
character=David Emerson	name=Peter Wingfield	episodes=5 episodes, 2009 	
character=Jenny Dodge	name=Tamlyn Tomita	episodes=5 episodes, 2002-2006 	
character=Eden Linley	name=Julie Claire	episodes=5 episodes, 2010 	
character=Alan Wilson	name=Will Patton	episodes=5 episodes, 2009 	
character=Linda	name=Agnes Bruckner	episodes=5 episodes, 2003 	
character=Agent McCallan	name=Vic Chao	episodes=5 episodes, 2005-2009 	
character=Agent Richards	name=John Eddins	episodes=5 episodes, 2002-2003 	
character=Andrei	name=Robert Maffia	episodes=5 episodes, 2006 	
character=Oriol	name=Josh Cruze	episodes=5 episodes, 2003-2004 	
character=Victor	name=Dylan Kenin	episodes=5 episodes, 2007 	
character=Nichols	name=Mark Aiken	episodes=5 episodes, 2009 	
character=Marcus Alvers	name=Lothaire Bluteau	episodes=4 episodes, 2004 	
character=Victor Drazen	name=Dennis Hopper	episodes=4 episodes, 2002 	
character=Kalil Hasan	name=Anil Kumar	episodes=4 episodes, 2005 	
character=Maya Driscoll	name=Angela Goethals	episodes=4 episodes, 2005 	
character=Ali	name=Iman Nazemzadeh	episodes=4 episodes, 2010 	
character=Omar	name=Marc Casabani	episodes=4 episodes, 2002-2003 	
character=Stan Shavers	name=Richie Metcalfe	episodes=2 episodes, 2006-2007 	
character=FBI Agent 	name=Brett DeLuca	episodes=2 episodes, 2009 	
character=Terrorist	name=Michael Hilow	episodes=1 episode, 2002-2010 	
character=Peter Kingsley	name=Tobin Bell	episodes=4 episodes, 2003 	
character=Jim Ricker	name=Michael Madsen	episodes=4 episodes, 2010 	
character=Eric Rayburn	name=Timothy Carhart	episodes=4 episodes, 2002 	
character=Jibraan Al-Zarian	name=Omid Abtahi	episodes=4 episodes, 2005-2009 	
character=Jonathan Wallace	name=Gregg Henry	episodes=4 episodes, 2003 	
character=Elizabeth Nash	name=Kara Zediker	episodes=4 episodes, 2002 	
character=Dr. Phil Parslow	name=Vincent Angell	episodes=4 episodes, 2002 	
character=Scott Wallace	name=Michael Angarano	episodes=4 episodes, 2007 	
character=Stokes	name=Michael Rodrick	episodes=4 episodes, 2009 	
character=Davros	name=Doug Hutchison	episodes=4 episodes, 2010 	
character=Craig Phillips	name=Doug Savant	episodes=4 episodes, 2004 	
character=Alan Milliken	name=Albert Hall	episodes=4 episodes, 2004 	
character=Darren McCarthy	name=David Hunt	episodes=4 episodes, 2007 	
character=Martin Collier	name=Leland Orser	episodes=4 episodes, 2009 	
character=Jillian Wallace	name=Megan Gallagher	episodes=4 episodes, 2007 	
character=Ahmed Amar	name=Kal Penn	episodes=4 episodes, 2007 	
character=Stephen	name=Paul Wesley	episodes=4 episodes, 2009-2010 	
character=Mitch Anderson	name=Ned Vaughn	episodes=4 episodes, 2005 	
character=Valerie Harris	name=Jenny Cooper	episodes=4 episodes, 2006 	
character=Pavel Tokarev	name=Joel Bissonnette	episodes=4 episodes, 2010 	
character=Marika Donoso	name=Enuka Okuma	episodes=4 episodes, 2009 	
character=Howard Bern	name=Robert Cicchini	episodes=4 episodes, 2005 	
character=Agent Hollister	name=Matt McKenzie	episodes=4 episodes, 2007 	
character=Raymond Brown	name=Michael McGrady	episodes=4 episodes, 2002-2003 	
character=Robert Galvez	name=Gabriel Casseus	episodes=4 episodes, 2009 	
character=Tom Chapman	name=Philip Anthony-Rodriguez	episodes=4 episodes, 2009 	
character=Ryan Burnett	name=Eyal Podell	episodes=4 episodes, 2009 	
character=Mamud Rasheed Faheen	name=Anthony Azizi	episodes=4 episodes, 2002-2005 	
character=Ray Wallace	name=Raphael Sbarge	episodes=4 episodes, 2007 	
character=Hal Turner	name=James C. Victor	episodes=4 episodes, 2007 	
character=Alama Matobo	name=Tonya Pinkins	episodes=4 episodes, 2009 	
character=Laughlin	name=Michael Cavanaugh	episodes=4 episodes, 2004 	
character=Joseph O	name=Michael Cavanaugh	episodes=4 episodes, 2004 	
character=Ambassador	name=Ajay Mehta	episodes=4 episodes, 2007 	
character=Helen Singer	name=Lucinda Jenney	episodes=4 episodes, 2003 	
character=Ostroff	name=Aleksandr Kuznetsov	episodes=4 episodes, 2006 	
character=Agent Samuels	name=Scott William Winters	episodes=4 episodes, 2007 	
character=Rita Brady	name=Missy Crider	episodes=4 episodes, 2007 	
character=Maureen Kingsley	name=Devika Parikh	episodes=4 episodes, 2001-2002 	
character=Agent King	name=Matthew Yang King	episodes=4 episodes, 2010 	
character=Debbie Pendleton	name=Leighton Meester	episodes=4 episodes, 2005 	
character=Operative	name=Kenneth Choi	episodes=4 episodes, 2007 	
character=Cheng	name=Kenneth Choi	episodes=4 episodes, 2007 	
character=Osterlind	name=Joe D	episodes=4 episodes, 2004 	
character=Osterlind	name=Angerio	episodes=4 episodes, 2004 	
character=Edward Vossler	name=Mark Kiely	episodes=4 episodes, 2009 	
character=Oleg Bazhaev	name=Gene Farber	episodes=4 episodes, 2010 	
character=Wendy Brown	name=Anita Finlay	episodes=4 episodes, 2006 	
character=Ron Wieland	name=Michael Holden	episodes=4 episodes, 2002-2003 	
character=Salim	name=Nasser Faris	episodes=4 episodes, 2007 	
character=Brown	name=Kevin Sizemore	episodes=4 episodes, 2005-2006 	
character=Samir Hussain	name=Steven Schub	episodes=4 episodes, 2007 	
character=Eric Richards	name=Butch Klein	episodes=4 episodes, 2004-2005 	
character=Sergio	name=Julian Rodriguez	episodes=4 episodes, 2003-2004 	
character=Jane	name=Alicia Bien	episodes=4 episodes, 2002-2005 	
character=CTU Security Guard	name=Ariel Mirabal-Ramos	episodes=4 episodes, 2010 	
character=CTU Agent Jim	name=Sterling Sulieman	episodes=4 episodes, 2010 	
character=Jovan Myovic	name=Henri Lubatti	episodes=3 episodes, 2002 	
character=Carla Matheson	name=Tracy Middendorf	episodes=3 episodes, 2002 	
character=Justin Adams	name=Tracy Howe	episodes=3 episodes, 2006 	
character=Jenny McGill	name=Penny Balfour	episodes=3 episodes, 2006 	
character=Serge	name=Endre Hules	episodes=3 episodes, 2002-2007 	
character=Tim Moran	name=Matt McTighe	episodes=3 episodes, 2009 	
character=Dwayne Thompkins	name=Matthew Boylan	episodes=3 episodes, 2006 	
character=Agent Lynch	name=D.R. Lewis	episodes=3 episodes, 2009-2010 	
character=Kevin	name=Kevin Fry	episodes=2 episodes, 2004-2009 	
character=Neill Choi	name=Al Leong	episodes=2 episodes, 2002 	
character=Andrew Paige	name=Lukas Haas	episodes=3 episodes, 2005 	
character=Bill Prady	name=Stephen Root	episodes=3 episodes, 2010 	
character=Bruce Carson	name=Michael Reilly Burke	episodes=3 episodes, 2007 	
character=Hamid Al-Zarian	name=Rafi Gavron	episodes=3 episodes, 2009 	
character=Michael Latham	name=John Billingsley	episodes=3 episodes, 2009 	
character=Ken Dellao	name=Tim Guinee	episodes=3 episodes, 2009 	
character=Tomas Sherek	name=Faran Tahir	episodes=3 episodes, 2003-2005 	
character=Marcus	name=Nick Offerman	episodes=3 episodes, 2003 	
character=Steve Goodrich	name=Max Martini	episodes=3 episodes, 2003 	
character=Lonnie McRae	name=Kevin Dillon	episodes=3 episodes, 2003 	
character=Muhtadi Gohar	name=Ravi Kapoor	episodes=3 episodes, 2009 	
character=Rachel Forrester	name=Maria del Mar	episodes=3 episodes, 2004 	
character=Warden Kevin Mitchell	name=Kevin Chapman	episodes=3 episodes, 2002-2003 	
character=Harris	name=Christian Svensson	episodes=3 episodes, 2002 	
character=Mark Bishop	name=Michael Shanks	episodes=3 episodes, 2007 	
character=Krugman	name=Darin Heames	episodes=3 episodes, 2002 	
character=Agent Mizelli	name=Reynaldo Gallegos	episodes=3 episodes, 2002-2009 	
character=Collette Stenger	name=Stana Katic	episodes=3 episodes, 2006 	
character=N.E.S.T. Tech 	name=Dylan Haggerty	episodes=3 episodes, 2003 	
character=Yosik Khatami	name=Nicholas Guilak	episodes=3 episodes, 2002-2005 	
character=Agent Lowry	name=William Bumiller	episodes=3 episodes, 2007 	
character=Rosa Donoso	name=Andi Chapman	episodes=3 episodes, 2009 	
character=Lugo Elson	name=Tony Curran	episodes=3 episodes, 2010 	
character=Luis Annicon	name=Carlos Gómez	episodes=3 episodes, 2003 	
character=Anton Beresch	name=David Dayan Fisher	episodes=3 episodes, 2006 	
character=Devon Rosenthal	name=James Hiroyuki Liao	episodes=3 episodes, 2010 	
character=Udo	name=Lovensky Jean-Baptiste	episodes=3 episodes, 2009 	
character=Marcos Al-Zacar	name=Rami Malek	episodes=3 episodes, 2010 	
character=Ahman	name=Rizwan Manji	episodes=3 episodes, 2010 	
character=Rick Phillips	name=Michael Cudlitz	episodes=3 episodes, 2002-2003 	
character=Robert Franklin	name=J. Patrick McCormack	episodes=3 episodes, 2005 	
character=Su Ming	name=Ping Wu	episodes=3 episodes, 2005 	
character=Henry Powell	name=Robertson Dean	episodes=3 episodes, 2005 	
character=Agent Hoskins	name=Larry Sullivan	episodes=3 episodes, 2009-2010 	
character=Al	name=Jon E. Epstein	episodes=3 episodes, 2002 	
character=Agent Beck	name=Justin Alston	episodes=3 episodes, 2010 	
character=Eddie Grant	name=Keeffe	episodes=3 episodes, 2002 	
character=Eddie Grant	name=Douglas O	episodes=3 episodes, 2002 	
character=Rick Burke	name=Martin Papazian	episodes=3 episodes, 2006-2007 	
character=Mikhail	name=Yorgo Constantine	episodes=3 episodes, 2006 	
character=Ngozi	name=Keston John	episodes=3 episodes, 2009 	
character=Dr. Linzer	name=Andy Umberger	episodes=3 episodes, 2003 	
character=Kevin	name=Kevin Alejandro	episodes=3 episodes, 2005 	
character=EMT Waltrip	name=Karim Prince	episodes=3 episodes, 2009 	
character=Litvak	name=Steve Cell	episodes=3 episodes, 2009 	
character=Jim Koernig	name=Joe Nieves	episodes=3 episodes, 2001-2010 	
character=Chris	name=Jimmi Simpson	episodes=3 episodes, 2002 	
character=Dimitri	name=Jordan Marder	episodes=3 episodes, 2010 	
character=Deborah	name=Heather Salmon	episodes=3 episodes, 2003-2005 	
character=Tomas	name=Miguel Nájera	episodes=3 episodes, 2003 	
character=Agent Steve	name=Matt Huhn	episodes=3 episodes, 2006 	
character=Ralph Burton	name=Jim Abele	episodes=3 episodes, 2002 	
character=Elaine	name=Jenn McCullough	episodes=3 episodes, 2002 	
character=David Gomez	name=David Labiosa	episodes=3 episodes, 2003 	
character=Ellen Price	name=Andrea Grano	episodes=3 episodes, 2007 	
character=Harbinson	name=Brian Kimmet	episodes=3 episodes, 2009 	
character=Mae	name=Chuti Tiu	episodes=3 episodes, 2003 	
character=Agent Manners	name=Lamont Thompson	episodes=3 episodes, 2010 	
character=Richard Armus	name=Terry Bozeman	episodes=3 episodes, 2002-2003 	
character=Vladimir Laitanan	name=Callum Keith Rennie	episodes=3 episodes, 2010 	
character=Komar	name=Roman Varshavsky	episodes=3 episodes, 2006 	
character=Alan Tanner	name=Dameon Clarke	episodes=3 episodes, 2009 	
character=Jeff Breeher	name=Sam Ayers	episodes=3 episodes, 2002-2010 	
character=Reporter	name=Pamela Stollings	episodes=3 episodes, 2002-2004 	
character=Heather Nauert	name=Heather Nauert	episodes=3 episodes, 2010 	
character=Frank Allard	name=Edoardo Ballerini	episodes=3 episodes, 2002 	
character=Cole	name=Maurice Compte	episodes=2 episodes, 2003 	
character=Ted Packard	name=Farrell	episodes=2 episodes, 2003 	
character=Ted Packard	name=Conor O	episodes=2 episodes, 2003 	
character=Technician	name=Ravil Isyanov	episodes=2 episodes, 2006 	
character=Bierko	name=Ravil Isyanov	episodes=2 episodes, 2006 	
character=Abdul Mahnesh	name=Mo Gallini	episodes=2 episodes, 2005 	
character=Ted Simmons	name=Steven Culp	episodes=2 episodes, 2003 	
character=Brennan	name=Christopher Amitrano	episodes=2 episodes, 2006 	
character=CTU Helicopter Pilot	name=Michael Lugar	episodes=2 episodes, 2005-2010 	
character=Anatoly Markov	name=John Noble	episodes=2 episodes, 2007 	
character=Paul Koplin	name=Al Sapienza	episodes=2 episodes, 2002-2003 	
character=Division Agent	name=Bruce Nozick	episodes=2 episodes, 2003-2004 	
character=Heydar	name=Haaz Sleiman	episodes=2 episodes, 2007 	
character=Agent Smith	name=Michael Roddy	episodes=2 episodes, 2006 	
character=Secretary of State Alex	name=John Rubinstein	episodes=1 episode, 2003 	
character=Secretary of Agriculture	name=Robert Pine	episodes=1 episode, 2003 	
character=Secretary of Treasury	name=Austin Tichenor	episodes=1 episode, 2003 	
character=Ari	name=Doc Duhame	episodes=1 episode, 2003-2009 	
character=Basheer	name=Fred Toma	episodes=1 episode, 2002 	
character=Jesper Isberg	name=Gregory J. Barnett	episodes=1 episode, 2003 	
character=Andre	name=Mathew Lorenceau	episodes=1 episode, 2010 	
character=Nicole	name=Dagmara Dominczyk	episodes=2 episodes, 2005 	
character=Ronnie Lobell	name=Shawn Doyle	episodes=2 episodes, 2005 	
character=Richard Walsh	name=Neill	episodes=2 episodes, 2001 	
character=Richard Walsh	name=Michael O	episodes=2 episodes, 2001 	
character=Mark Bledsoe	name=D.B. Sweeney	episodes=2 episodes, 2010 	
character=Max	name=Thomas Kretschmann	episodes=2 episodes, 2003 	
character=UN Secretary General	name=Eriq La Salle	episodes=2 episodes, 2010 	
character=Deputy Raynes	name=Sterling Macer Jr.	episodes=2 episodes, 2003 	
character=Doug Knowles	name=Chris Mulkey	episodes=2 episodes, 2009 	
character=Robert Morrison	name=Keith Szarabajka	episodes=2 episodes, 2005 	
character=Theo Stoller	name=Henry Ian Cusick	episodes=2 episodes, 2006 	
character=Greg Penticoff	name=John Hawkes	episodes=2 episodes, 2001 	
character=Dave Conlon	name=Tomas Arana	episodes=2 episodes, 2005 	
character=Admiral Kirkland	name=Tom Wright	episodes=2 episodes, 2006 	
character=John Quinn	name=Sebastian Roché	episodes=2 episodes, 2009 	
character=General David Brucker	name=Michael Gaston	episodes=2 episodes, 2010 	
character=Ronnie Stark	name=Peter Outerbridge	episodes=2 episodes, 2003 	
character=Barry Landes	name=C. Thomas Howell	episodes=2 episodes, 2006 	
character=Agent Reynolds	name=Terrell Tilford	episodes=2 episodes, 2002-2009 	
character=Ted Cofell	name=Currie Graham	episodes=2 episodes, 2002 	
