# http://fitlayout.github.io/resource/art12 -> https://www.imdb.com/title/tt1119644/fullcredits/
character=Olivia Dunham	name=Anna Torv	episodes=100 episodes, 2008-2013 	
character=Observer in Town Car	name=Ted Cole	episodes=2 episodes, 2012 	
character=Dr. Sumner	name=William Sadler	episodes=2 episodes, 2008-2011 	
character=Jessica Holt	name=Rebecca Mader	episodes=2 episodes, 2012 	
character=Marshall Bowman	name=Neal Huff	episodes=2 episodes, 2009-2012 	
character=Christopher Broyles	name=Curtis Harris	episodes=2 episodes, 2010-2012 	
character=Dr. Blake West	name=Monte Markham	episodes=2 episodes, 2011-2012 	
character=Coach	name=Robert Hayley	episodes=2 episodes, 2011-2012 	
character=Nurse	name=Jennifer Cheon Garcia	episodes=2 episodes, 2012 	
character=August	name=Peter Woodward	episodes=2 episodes, 2009-2010 	
character=Sally Clark	name=Pascale Hutton	episodes=2 episodes, 2010-2012 	
character=James Heath	name=Omar Metwally	episodes=2 episodes, 2010 	
character=Young Olivia	name=Ada Breker	episodes=2 episodes, 2010-2011 	
character=FBI Tactical Agent	name=D. Harlan Cutshall	episodes=2 episodes, 2011 	
character=Dad	name=Steve Elliott	episodes=2 episodes, 2010-2013 	
character=Delbrook	name=Morris Chapdelaine	episodes=2 episodes, 2010-2011 	
character=Olivia	name=Chris Bradford	episodes=2 episodes, 2011 	
character=Stepfather	name=Chris Bradford	episodes=2 episodes, 2011 	
character=Warden Johan Lennox	name=Kenneth Tigar	episodes=2 episodes, 2008-2009 	
character=Samantha Loeb	name=Trini Alvarado	episodes=2 episodes, 2008-2009 	
character=Military Guard	name=Sean Carey	episodes=2 episodes, 2009-2011 	
character=Dr. Anderson	name=Gabrielle Rose	episodes=2 episodes, 2010-2012 	
character=Agent Warrick	name=Jeremy Guilbaut	episodes=2 episodes, 2011 	
character=Darryl Hastings	name=Gabe Khouth	episodes=2 episodes, 2012 	
character=Holden	name=Edward Foy	episodes=2 episodes, 2012 	
character=ND Agent	name=Chaz Chamberlain	episodes=2 episodes, 2010-2012 	
character=FBI Tech	name=Khaira Ledeyo	episodes=2 episodes, 2010-2011 	
character=Medic	name=Robin Jung	episodes=2 episodes, 2012 	
character=General Hayes	name=Serge Houde	episodes=2 episodes, 2010-2012 	
character=Bonner	name=Darren Moore	episodes=2 episodes, 2010-2012 	
character=ND Agent 	name=Tristan Jensen	episodes=2 episodes, 2011 	
character=Flamethrower Agent	name=Monte Thompson	episodes=2 episodes, 2011-2012 	
character=Female Flight Attendant	name=Olivia Jones	episodes=2 episodes, 2009-2012 	
character=Bartender	name=Charles Singh	episodes=2 episodes, 2009-2012 	
character=Lloyd	name=Chinasa Ogbuagu	episodes=2 episodes, 2009 	
character=Movie Star	name=Lea Kovach	episodes=2 episodes, 2011 	
character=Guard	name=Stephen Huszar	episodes=2 episodes, 2012 	
character=Agent 	name=Guiesseppe Jones	episodes=2 episodes, 2008-2009 	
character=Motorist 	name=Shawn Stewart	episodes=2 episodes, 2009-2012 	
character=July	name=Amos Stern	episodes=2 episodes, 2009-2012 	
character=Agent	name=Douglas Chapman	episodes=2 episodes, 2009-2010 	
character=CSI Investigator	name=Chris Eastman	episodes=2 episodes, 2009 	
character=Fringe Agent 	name=Achara Kirk	episodes=2 episodes, 2011-2012 	
character=Man 	name=Brian Slaten	episodes=2 episodes, 2008-2009 	
character=March	name=Steve Weller	episodes=2 episodes, 2012 	
character=Checkpoint Loyalist	name=Phillip Mitchell	episodes=2 episodes, 2009-2012 	
character=Male Flight Attendant	name=Mike Realba	episodes=2 episodes, 2009-2012 	
character=Observer	name=Andy Thompson	episodes=2 episodes, 2010-2012 	
character=ND Agent	name=James Tyce	episodes=2 episodes, 2011 	
character=Cop	name=Viv Leacock	episodes=2 episodes, 2010-2012 	
character=Lead MP	name=Brady Schlecker	episodes=2 episodes, 2012 	
character=Woman	name=Judy Sinclair	episodes=2 episodes, 2009-2012 	
character=Agent 	name=Chad Riley	episodes=2 episodes, 2010-2011 	
character=Male Nurse	name=Lucas Wolf	episodes=2 episodes, 2010-2013 	
character=Checkpoint Observer	name=Charles Zuckermann	episodes=2 episodes, 2012 	
character=Agent	name=Robyn Payne	episodes=2 episodes, 2009 	
character=Fringe Agent	name=Matthew Mandzij	episodes=2 episodes, 2010 	
character=Man	name=Timothy Webber	episodes=2 episodes, 2012 	
character=ND Swat 	name=Anthony C. Mazza	episodes=2 episodes, 2009 	
character=Agent Romick	name=James Yi	episodes=2 episodes, 2011-2012 	
character=Loyalist in Parkade	name=Russell Thomas	episodes=2 episodes, 2012-2013 	
character=Gael Manfretti	name=Eric Lange	episodes=1 episode, 2012 	
character=Simon Foster	name=Henry Ian Cusick	episodes=1 episode, 2012 	
character=Leah	name=Marie Avgeropoulos	episodes=1 episode, 2010 	
character=Nora	name=Diana Bang	episodes=1 episode, 2010 	
character=CSI Detective Kassel	name=David Richmond-Peck	episodes=1 episode, 2010 	
character=Deputy	name=Isaiah Adam	episodes=1 episode, 2010 	
character=Mr. Kohl	name=James Frain	episodes=1 episode, 2008-2009 	
character=Rebecca	name=Tegan Moss	episodes=1 episode, 2009 	
character=Medical Examiner	name=John Shaw	episodes=1 episode, 2010 	
character=Stock Boy	name=Scott Patey	episodes=1 episode, 2010 	
character=Actor	name=Silver Kim	episodes=1 episode, 2010 	
character=Observer	name=Terry Mullett	episodes=1 episode, 2013 	
character=Cashier	name=Eve Harlow	episodes=1 episode, 2010 	
character=Lloyd Becker	name=Jamie Switch	episodes=1 episode, 2010 	
character=Royce the Observer	name=Marco Soriano	episodes=1 episode, 2012 	
character=Dave	name=James Pizzinato	episodes=1 episode, 2010 	
character=Elaine	name=Megan Leitch	episodes=1 episode, 2010 	
character=Actor	name=Alison Raine	episodes=1 episode, 2010 	
character=FBI Tech	name=Cam Cronin	episodes=1 episode, 2009-2010 	
character=Tobin	name=Peter Kelamis	episodes=1 episode, 2013 	
character=Young Mother	name=Alberta Mayne	episodes=1 episode, 2010 	
character=Neal	name=Al Miro	episodes=1 episode, 2010 	
character=Jordan	name=Sierra Pitkin	episodes=1 episode, 2010 	
character=Captive Observer	name=John Prosky	episodes=1 episode, 2012 	
character=River Massey	name=Connor Beardmore	episodes=1 episode, 2012 	
character=Simone	name=Jill Scott	episodes=1 episode, 2012 	
character=Richard	name=Tom Butler	episodes=1 episode, 2012 	
character=Cecil	name=Zak Santiago	episodes=1 episode, 2012 	
character=Tyler Carson	name=Cameron Monaghan	episodes=1 episode, 2009 	
character=Dr. West	name=Jeannetta Arnette	episodes=1 episode, 2009 	
character=Ming Che	name=Tzi Ma	episodes=1 episode, 2009 	
character=Tomas	name=Ravil Isyanov	episodes=1 episode, 2009 	
character=Matthew Rose	name=Aaron Ashmore	episodes=1 episode, 2010 	
character=Sheriff Velchik	name=Michael O	episodes=1 episode, 2010 	
character=Sheriff Velchik	name=Neill	episodes=1 episode, 2010 	
character=Sheriff Ann Mathis	name=Martha Plimpton	episodes=1 episode, 2010 	
character=Alistair Peck	name=Peter Weller	episodes=1 episode, 2010 	
character=Milo	name=Michael Eklund	episodes=1 episode, 2010 	
character=Gemini	name=Kevin Weisman	episodes=1 episode, 2010 	
character=Arnold McFadden	name=Geoff Pierson	episodes=1 episode, 2010 	
character=Ted Pratchett	name=Jim True-Frost	episodes=1 episode, 2010 	
character=Joe	name=Russell Harvard	episodes=1 episode, 2010 	
character=Patricia Van Horn	name=Shannon Cochran	episodes=1 episode, 2010 	
character=The Librarian	name=John Cassini	episodes=1 episode, 2010 	
character=Alfred Hoffman	name=Craig Robert Young	episodes=1 episode, 2010 	
character=Vince	name=Greyston Holt	episodes=1 episode, 2011 	
character=Simon Phillips	name=Omid Abtahi	episodes=1 episode, 2011 	
character=Dr. Armand Silva	name=Alon Aboutboul	episodes=1 episode, 2011 	
character=Zach Alpert	name=Sean Campbell	episodes=1 episode, 2011 	
character=Loyalist Guard 	name=Andrew Coghlan	episodes=1 episode, 2012 	
character=Carolyn	name=Maria Marlow	episodes=1 episode, 2012 	
character=Eliot Michaels	name=Erik Palladino	episodes=1 episode, 2009 	
character=Lloyd Parr	name=Luke Goss	episodes=1 episode, 2009 	
character=Dr. Carson	name=Andrew Airlie	episodes=1 episode, 2009 	
character=Christine Hollis	name=Jennifer Missoni	episodes=1 episode, 2009 	
character=Matt Jarvis	name=Colby Paul	episodes=1 episode, 2009 	
character=Joshua Rose	name=Shawn Ashmore	episodes=1 episode, 2010 	
character=Maureen Donovan	name=Amy Carlson	episodes=1 episode, 2010 	
character=Pauline Hess	name=Sarah Edmondson	episodes=1 episode, 2010 	
character=Roland David Barrett	name=Mark Ivanir	episodes=1 episode, 2010 	
character=Joe Falls	name=Martin Cummins	episodes=1 episode, 2010 	
character=Wyatt Toomy	name=Will Rothhaar	episodes=1 episode, 2010 	
character=Ray Duffy	name=Marcus Giamatti	episodes=1 episode, 2010 	
character=Agent Hubert	name=Demore Barnes	episodes=1 episode, 2010 	
character=Carol Bryce	name=Laara Sadiq	episodes=1 episode, 2010 	
character=Cameron James	name=Chadwick Boseman	episodes=1 episode, 2011 	
character=Roscoe Joyce	name=Christopher Lloyd	episodes=1 episode, 2011 	
character=Raymond	name=Stephen Root	episodes=1 episode, 2011 	
character=Moreau	name=Brad Dourif	episodes=1 episode, 2011 	
character=Dr. Krick	name=Alan Ruck	episodes=1 episode, 2011 	
character=Dana Gray	name=Paula Malcomson	episodes=1 episode, 2011 	
character=John McClennan	name=John Pyper-Ferguson	episodes=1 episode, 2011 	
character=Malcolm Truss	name=Arye Gross	episodes=1 episode, 2011 	
character=Man in Zeppelin, aka Mr X	name=Ulrich Thomsen	episodes=1 episode, 2011 	
character=Young Peter Bishop	name=Chandler Canterbury	episodes=1 episode, 2011 	
character=Eugene Bryant	name=Tobias Segal	episodes=1 episode, 2011 	
character=Alice Merchant	name=Phyllis Somerville	episodes=1 episode, 2011 	
character=Aaron Sneddon	name=Evan Bird	episodes=1 episode, 2011 	
character=Jim Mallum	name=Currie Graham	episodes=1 episode, 2012 	
character=Neil Chung	name=Chin Han	episodes=1 episode, 2012 	
character=Canaan	name=Max Arciniega	episodes=1 episode, 2012 	
character=Antonio Dawes 	name=Max Arciniega	episodes=1 episode, 2012 	
character=Edwin Massey	name=Paul McGillion	episodes=1 episode, 2012 	
character=Dr. Owen Frank	name=John Aylward	episodes=1 episode, 2012 	
character=Cliff Hayes	name=Tim Kelleher	episodes=1 episode, 2012 	
character=Briggs	name=Birkett Turton	episodes=1 episode, 2012 	
character=Tester	name=Peter Abrams	episodes=1 episode, 2012 	
character=Assistant	name=Samantha Claude	episodes=1 episode, 2012 	
character=Nina	name=Samantha Claude	episodes=1 episode, 2012 	
character=Nina	name=Alexa Asjes	episodes=1 episode, 2012 	
character=Assistant	name=Alexa Asjes	episodes=1 episode, 2012 	
character=Loyalist Guard	name=Sage Brocklebank	episodes=1 episode, 2013 	
character=Lucas Vogel	name=Billy Burke	episodes=1 episode, 2008 	
character=Joseph Meegar	name=Ebon Moss-Bachrach	episodes=1 episode, 2008 	
character=Richard Steig	name=Jason Butler Harner	episodes=1 episode, 2008 	
character=George	name=Yul Vazquez	episodes=1 episode, 2008 	
character=David Esterbrook	name=Chris Eigeman	episodes=1 episode, 2008 	
character=Roy McComb	name=Zak Orth	episodes=1 episode, 2008 	
character=Christopher	name=Derek Cecil	episodes=1 episode, 2008 	
character=Brian Dempsey	name=Chris Bauer	episodes=1 episode, 2009 	
character=Joseph Slater	name=Jeff Perry	episodes=1 episode, 2009 	
character=Nancy Lewis	name=Jennifer Ferrin	episodes=1 episode, 2009 	
character=Donald Long	name=Paul Rae	episodes=1 episode, 2009 	
character=Nicholas Boone	name=Jefferson Mays	episodes=1 episode, 2009 	
character=Dr. Nayak	name=Ravi Kapoor	episodes=1 episode, 2009 	
character=Dobbins	name=Vincent Gale	episodes=1 episode, 2009 	
character=Robert Swift	name=David Pittu	episodes=1 episode, 2009 	
character=Elizabeth Jarvis	name=Ingrid Torrance	episodes=1 episode, 2009 	
character=Lisa Donovan	name=Alice Kremelberg	episodes=1 episode, 2010 	
character=Teddy Falls	name=Liam James	episodes=1 episode, 2010 	
character=Krista Manning	name=Christine Chatelain	episodes=1 episode, 2010 	
character=Ben McCalister	name=Peter Bryant	episodes=1 episode, 2010 	
character=Mrs. Walsh	name=Barbara Tyson	episodes=1 episode, 2010 	
character=Vincent Ames	name=Conrad Coates	episodes=1 episode, 2010 	
character=Mrs. Lane	name=Catherine Barroll	episodes=1 episode, 2010 	
character=George	name=Craig Anderson	episodes=1 episode, 2010 	
character=Mitch	name=Artine Tony Browne	episodes=1 episode, 2010 	
character=Dr. James Falcon	name=Charles Parnell	episodes=1 episode, 2011 	
character=Robert Danzig	name=Joe Flanigan	episodes=1 episode, 2011 	
character=Kate	name=Romy Rosemont	episodes=1 episode, 2011 	
character=Landlady	name=Glynis Davies	episodes=1 episode, 2011 	
character=Young Olivia Dunham	name=Karley Scott Collins	episodes=1 episode, 2011 	
character=Noreen Miller	name=Enid-Raye Adams	episodes=1 episode, 2011 	
character=Landlady	name=Patti Allan	episodes=1 episode, 2011 	
character=Derek Merchant	name=Ken Pogue	episodes=1 episode, 2011 	
character=Tech	name=Sienna Bohn	episodes=1 episode, 2011 	
character=Adorable Old Woman	name=Nancy Amelia Bell	episodes=1 episode, 2011 	
character=Anson Carr	name=Michael Massee	episodes=1 episode, 2012 	
character=Kate Hicks	name=Gina Holden	episodes=1 episode, 2012 	
character=Canaan	name=Tim Guinee	episodes=1 episode, 2012 	
character=Rick Pearce 	name=Tim Guinee	episodes=1 episode, 2012 	
character=Guard	name=Giacomo Baessato	episodes=1 episode, 2012 	
character=Emily Mallum	name=Alexis Raich	episodes=1 episode, 2012 	
character=Sean Keenan	name=Harrison Thomas	episodes=1 episode, 2012 	
character=Jared Colin	name=G. Michael Gray	episodes=1 episode, 2012 	
character=Angela Hayes	name=Michelle Addison	episodes=1 episode, 2012 	
character=Niemann	name=Paul Moniz de Sa	episodes=1 episode, 2012 	
character=Stratton	name=Nathan Dashwood	episodes=1 episode, 2012 	
character=Lead Guard	name=Sean Baden	episodes=1 episode, 2012 	
character=Observer	name=Mark Ferns	episodes=1 episode, 2012 	
character=John Mosley	name=Michael Kelly	episodes=1 episode, 2008 	
character=Tess Amaral	name=Susan Misner	episodes=1 episode, 2008 	
character=Grant	name=Peter Hermann	episodes=1 episode, 2008 	
character=Emily Kramer	name=Maria Dizzia	episodes=1 episode, 2008 	
character=Dr. Reyes	name=Peter Outerbridge	episodes=1 episode, 2008 	
character=Dr. Claus Penrose	name=Mark Blum	episodes=1 episode, 2008 	
character=Dashiell Kim	name=Randall Duk Kim	episodes=1 episode, 2008 	
character=Ryan Eastwick	name=Paul Fitzgerald	episodes=1 episode, 2008 	
character=Jacob Fischer	name=Max Baker	episodes=1 episode, 2008 	
character=Valerie Boone	name=Trieste Kelly Dunn	episodes=1 episode, 2009 	
character=Colonel Raymond Gordon	name=Stephen McHattie	episodes=1 episode, 2009 	
character=Rebecca Kibner	name=Theresa Russell	episodes=1 episode, 2009 	
character=Andre Hughes	name=John Savage	episodes=1 episode, 2009 	
character=Daniel Hicks	name=Felix Solis	episodes=1 episode, 2009 	
character=Nurse	name=Simone Kessell	episodes=1 episode, 2009 	
character=Agent Kashner	name=Travis Schuldt	episodes=1 episode, 2009 	
character=The Child	name=Spencer List	episodes=1 episode, 2009 	
character=FBI Agent	name=Noah Bean	episodes=1 episode, 2009 	
character=Police Detective	name=April Grace	episodes=1 episode, 2009 	
character=Tao Chen	name=Jack Yang	episodes=1 episode, 2009 	
character=Carl Bussler	name=Keith Nobbs	episodes=1 episode, 2009 	
character=Officer Gibson	name=Doron Bell	episodes=1 episode, 2009 	
character=CSI Officer	name=Blaine Anderson	episodes=1 episode, 2009 	
character=Jill	name=Katie Findlay	episodes=1 episode, 2010 	
character=Teresa Rusk	name=Annie Parisse	episodes=1 episode, 2010 	
character=Rose Falls	name=Laura Mennell	episodes=1 episode, 2010 	
character=Linda	name=Natassia Malthe	episodes=1 episode, 2010 	
character=Deputy Bill Ferguson	name=Patrick Gilmore	episodes=1 episode, 2010 	
character=Murray Harkins	name=Mark Acheson	episodes=1 episode, 2010 	
character=Darryl	name=Kyle Cassie	episodes=1 episode, 2010 	
character=Amanda	name=Lauren Akemi Bradley	episodes=1 episode, 2010 	
character=Attendant	name=Kaaren de Zilva	episodes=1 episode, 2010 	
character=Ken Messing	name=Curtis Caravaggio	episodes=1 episode, 2010 	
character=Alt. Bartender	name=Primo Allon	episodes=1 episode, 2010 	
character=Paramedic 	name=Ellen Ewusie	episodes=1 episode, 2010 	
character=Grant Russo	name=Michael Bean	episodes=1 episode, 2010 	
character=Agent 	name=Jackson Berlin	episodes=1 episode, 2010 	
character=Ella Dunham	name=Emily Meade	episodes=1 episode, 2011 	
character=Mona Foster	name=Julie McNiven	episodes=1 episode, 2011 	
character=Victoria DiMiri	name=Olivia Cheng	episodes=1 episode, 2011 	
character=Ashley	name=Sarah-Jane Redmond	episodes=1 episode, 2011 	
character=Sara Downey	name=Jody Thompson	episodes=1 episode, 2011 	
character=Jim	name=Nicholas Carella	episodes=1 episode, 2011 	
character=Anne	name=Victoria Bidewell	episodes=1 episode, 2011 	
character=Museum Security Guard	name=Jason Griffith	episodes=1 episode, 2011 	
character=ER Doctor	name=Don Ackerman	episodes=1 episode, 2011 	
character=Nurse Jaffe	name=Nancy Sivak	episodes=1 episode, 2011 	
character=Agent Perez	name=Daniel Arnold	episodes=1 episode, 2011 	
character=Gas Station Attendant	name=Umberto Celisano	episodes=1 episode, 2011 	
character=Older Waitress	name=Kathryn Dobbs	episodes=1 episode, 2011 	
character=Tech	name=Lars Anderson	episodes=1 episode, 2011 	
character=Guard	name=Michael Challenger	episodes=1 episode, 2011 	
character=Nurse 	name=Marina Allen	episodes=1 episode, 2011 	
character=Diana Sutter	name=Ona Grauer	episodes=1 episode, 2012 	
character=Impound Clerk	name=Ben Cotton	episodes=1 episode, 2012 	
character=Pixie	name=Allie Bertram	episodes=1 episode, 2012 	
character=Doctor Benlo	name=Samantha Noble	episodes=1 episode, 2012 	
character=MIT Professor	name=Adrian Hough	episodes=1 episode, 2012 	
character=Carlos	name=Claude Duhamel	episodes=1 episode, 2012 	
character=Neo Observer	name=David Bloom	episodes=1 episode, 2012 	
character=Superintendent	name=Joe Costa	episodes=1 episode, 2012 	
character=Red-Headed Woman	name=Carolyn Anderson	episodes=1 episode, 2012 	
character=Mrs. Keenan	name=Sandra Ferens	episodes=1 episode, 2012 	
character=Ted	name=Biski Gugushe	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Mike Carpenter	episodes=1 episode, 2012 	
character=Loyalist Scout	name=Gaelan Beatty	episodes=1 episode, 2012 	
character=American Tourist	name=Cameron Dent	episodes=1 episode, 2012 	
character=Crazy Man	name=Kevin J. Andruschak	episodes=1 episode, 2012 	
character=Passenger	name=Bob Phipps	episodes=1 episode, 2012 	
character=Alt Universe Fringe Agent 	name=Sarwan Badesha	episodes=1 episode, 2013 	
character=Joanne Ostler	name=Gillian Jacobs	episodes=1 episode, 2008 	
character=Loraine Daisy	name=Betty Gilpin	episodes=1 episode, 2008 	
character=Matthew Ziegler	name=David Lansbury	episodes=1 episode, 2008 	
character=Henry Jacobson	name=Nestor Serrano	episodes=1 episode, 2008 	
character=Flora Meegar	name=Marylouise Burke	episodes=1 episode, 2008 	
character=Claire Williams	name=Marjan Neshat	episodes=1 episode, 2008 	
character=Mark Young	name=Ptolemy Slocum	episodes=1 episode, 2008 	
character=Flight Attendant	name=Bernadeta Wrobel	episodes=1 episode, 2008 	
character=Emmanuel Grayson	name=Clint Howard	episodes=1 episode, 2009 	
character=Sheriff Golightly	name=Charles Martin Smith	episodes=1 episode, 2009 	
character=Sonia	name=Kiersten Warren	episodes=1 episode, 2009 	
character=Dr. Malik Yusef	name=Navid Negahban	episodes=1 episode, 2009 	
character=Phil	name=Victor Williams	episodes=1 episode, 2009 	
character=Bob Dunn	name=Richard Short	episodes=1 episode, 2009 	
character=MD Woman	name=Victoria Barabas	episodes=1 episode, 2009 	
character=Waiter	name=Michael Antonakos	episodes=1 episode, 2009 	
character=Mouse Willis	name=Johanna Day	episodes=1 episode, 2009 	
character=Officer Jenks	name=Ryan Jefferson Booth	episodes=1 episode, 2009 	
character=Captain	name=Emy Aneke	episodes=1 episode, 2009 	
character=Hospital Security	name=Jeanettea Antonio	episodes=1 episode, 2009 	
character=Madeline	name=Kacey Rohl	episodes=1 episode, 2010 	
character=Jake Selleg	name=Scott William Winters	episodes=1 episode, 2010 	
character=Tabatha	name=Genevieve Buechner	episodes=1 episode, 2010 	
character=Cashier	name=Lossen Chambers	episodes=1 episode, 2010 	
character=Danielle Rose	name=Holly Elissa	episodes=1 episode, 2010 	
character=Tech 	name=Veronika Hadrava	episodes=1 episode, 2010 	
character=Cop 	name=Fraser Aitcheson	episodes=1 episode, 2010 	
character=Agent Frug	name=Kwesi Ameyaw	episodes=1 episode, 2010 	
character=Corpse 	name=Candus Churchill	episodes=1 episode, 2010 	
character=Bank Manager	name=Robert Egger	episodes=1 episode, 2010 	
character=Max Clayton	name=Michael Strusievici	episodes=1 episode, 2010 	
character=Bomb Tech	name=Raul Herrera	episodes=1 episode, 2010 	
character=Worker	name=Zoltan Buday	episodes=1 episode, 2010 	
character=Scientist	name=Dean Atwal	episodes=1 episode, 2010 	
character=Nurse Joyce	name=Kendall Cross	episodes=1 episode, 2011 	
character=Patrol Officer	name=Clayton James	episodes=1 episode, 2011 	
character=ND Agent 	name=Michael Adamthwaite	episodes=1 episode, 2011 	
character=Waiter	name=Adam Beauchesne	episodes=1 episode, 2011 	
character=Mrs. Marcello	name=Michelle Brezinski	episodes=1 episode, 2011 	
character=Cabbie	name=Dean Paul Gibson	episodes=1 episode, 2011 	
character=Science Director	name=Forbes Angus	episodes=1 episode, 2011 	
character=Alt. Female Agent	name=Marlene Ginader	episodes=1 episode, 2011 	
character=Morgue Worker 	name=Pamela Diaz	episodes=1 episode, 2011 	
character=ND Agent 	name=Jackie Blackmore	episodes=1 episode, 2011 	
character=Tactical Officer 	name=Justin Breault	episodes=1 episode, 2011 	
character=Tough Man	name=Boyce	episodes=1 episode, 2011 	
character=Tough Man	name=Sluggo	episodes=1 episode, 2011 	
character=Tough Man	name=Rob 	episodes=1 episode, 2011 	
character=Brian	name=Jason Poulsen	episodes=1 episode, 2011 	
character=Waitress	name=Syd Lazzara	episodes=1 episode, 2011 	
character=Baby Samantha	name=Sophie Crowell	episodes=1 episode, 2011 	
character=Loyalist Guard 	name=Nathan Dales	episodes=1 episode, 2012 	
character=Coat Check Girl	name=Jordana Largy	episodes=1 episode, 2012 	
character=Stephen Farnsworth	name=Blu Mankuma	episodes=1 episode, 2012 	
character=Bernadette	name=Allison Hossack	episodes=1 episode, 2012 	
character=MP	name=Josh Blacker	episodes=1 episode, 2012 	
character=Sgt. Kane	name=Daren A. Herbert	episodes=1 episode, 2012 	
character=Bill	name=Zahf Paroo	episodes=1 episode, 2012 	
character=Cab Driver	name=Faustino Di Bauda	episodes=1 episode, 2012 	
character=Observer Supervisor	name=David Stuart	episodes=1 episode, 2012 	
character=Little Girl Darby	name=Eliza Faria	episodes=1 episode, 2012 	
character=Loyalist Guard 	name=Gabriel Carter	episodes=1 episode, 2012 	
