# http://fitlayout.github.io/resource/art94 -> https://www.imdb.com/title/tt13207736/fullcredits/
character=Jeffrey Dahmer	name=Evan Peters	episodes=10 episodes, 2022 	
character=African American Man	name=Ken Ivy	episodes=1 episode, 2022 	
character=Makeup Artist	name=Caroline Klidonas	episodes=1 episode, 2022 	
character=Prison Librarian	name=Nicole Lynn Evans	episodes=1 episode, 2022 	
character=MPA President	name=Bill Chott	episodes=1 episode, 2022 	
character=Police Officer	name=Peter Holden	episodes=1 episode, 2022 	
character=Delivery Nurse	name=Eva La Dare	episodes=1 episode, 2022 	
character=News Correspondent	name=Serene Branson	episodes=1 episode, 2022 	
character=Photographer	name=Steve Hasley	episodes=1 episode, 2022 	
character=Police Photographer	name=Daniel Curtis Lee	episodes=1 episode, 2022 	
character=Fresno Reporter 	name=Markina Brown	episodes=1 episode, 2022 	
character=Doug Brozovsky	name=John Ahle Kellar	episodes=1 episode, 2022 	
character=Officer 	name=Robert Descant	episodes=1 episode, 2022 	
character=Officer Melnick	name=Matthew Downs	episodes=1 episode, 2022 	
character=Coroner	name=Roslyn Gentle	episodes=1 episode, 2022 	
character=Department Store Clerk	name=Keylor Leigh	episodes=1 episode, 2022 	
character=Male Employee	name=Brandon Papo	episodes=1 episode, 2022 	
character=Geraldo Rivera	name=Demi Castro	episodes=1 episode, 2022 	
character=Investigator	name=Andy Taylor Kim	episodes=1 episode, 2022 	
character=White Prisoner	name=Adam Dunnells	episodes=1 episode, 2022 	
character=Yearbook Guy	name=Eugene Ko	episodes=1 episode, 2022 	
character=Manager of Pawn shop	name=Arthur Richardson	episodes=1 episode, 2022 	
character=Police Lieutenant	name=Travon McCall	episodes=1 episode, 2022 	
character=Marcus	name=John Shartzer	episodes=1 episode, 2022 	
character=Osvaldo Durruthy	name=Leroy Edwards III	episodes=1 episode, 2022 	
character=Bus Driver	name=Ben Scott	episodes=1 episode, 2022 	
character=Jesse Anderson	name=Jeff Harms	episodes=1 episode, 2022 	
character=Police Officer 	name=Chase Fein	episodes=1 episode, 2022 	
character=Sticky Ricky	name=Teddy Margas	episodes=1 episode, 2022 	
character=Frank Currier	name=Kiff VandenHeuvel	episodes=1 episode, 2022 	
character=Rufus	name=Michael Anthony Spady	episodes=1 episode, 2022 	
character=Lemar	name=Kareem Ferguson	episodes=1 episode, 2022 	
character=Paramedic 	name=Curtis Nelson II	episodes=1 episode, 2022 	
character=Bartender	name=Collie Jay Simmons	episodes=1 episode, 2022 	
character=Portage Prison Guard 	name=Britt George	episodes=1 episode, 2022 	
character=Derek	name=Justin Stella	episodes=1 episode, 2022 	
character=Duane	name=Matt Steele	episodes=1 episode, 2022 	
character=Police Officer 	name=Scott Thomas Reynolds	episodes=1 episode, 2022 	
character=Fresno Reporter 	name=Vanessa Giordano	episodes=1 episode, 2022 	
character=Nousone Sinthasomphone	name=Dieu Tran	episodes=1 episode, 2022 	
character=Newscaster	name=Jay Jackson	episodes=1 episode, 2022 	
character=Denim Employee 	name=Keanush Tafreshi	episodes=1 episode, 2022 	
character=Barry Goldman	name=John Grady	episodes=1 episode, 2022 	
character=Officer	name=Mark Weiler	episodes=1 episode, 2022 	
character=Tanner	name=Carson Zone	episodes=1 episode, 2022 	
character=Isaac Richards	name=Horace Gold	episodes=1 episode, 2022 	
character=Gerald Boyle	name=Arye Gross	episodes=1 episode, 2022 	
character=Walter Jacobson	name=Matt Kaminsky	episodes=1 episode, 2022 	
character=Nicole Childress	name=Teshi Thomas	episodes=1 episode, 2022 	
character=Joseph Bradehoft	name=Jacob Zukowski	episodes=1 episode, 2022 	
character=Robert Fennig, Attorney	name=David Kelsey	episodes=1 episode, 2022 	
character=Portage Prison Guard 	name=Andy Hernandez	episodes=1 episode, 2022 	
character=Pastor	name=Antonio David Lyons	episodes=1 episode, 2022 	
character=J.W. Smith	name=Bobbie Lee Jr.	episodes=1 episode, 2022 	
character=Ed Gein	name=Shane Kerwin	episodes=1 episode, 2022 	
character=Female Sergeant	name=Ericka Kreutz	episodes=1 episode, 2022 	
character=Officer 	name=Doug Long	episodes=1 episode, 2022 	
character=Prisoner	name=Anthony Omari	episodes=1 episode, 2022 	
character=Milwaukee Reporter 	name=Mercy Malick	episodes=1 episode, 2022 	
character=Linda	name=Amanda Reed	episodes=1 episode, 2022 	
character=Statesville Warden	name=David Rockwell	episodes=1 episode, 2022 	
character=Milwaukee Reporter 	name=Ed Mattiuzzi	episodes=1 episode, 2022 	
character=Fresno Reporter 	name=Danny Max	episodes=1 episode, 2022 	
character=Woman	name=Rachel Winfree	episodes=1 episode, 2022 	
character=Gavin	name=Eric Normington	episodes=1 episode, 2022 	
character=Sheriff - 1957	name=Jim McCaffree	episodes=1 episode, 2022 	
character=Tattooed Prisoner	name=Paul Zies	episodes=1 episode, 2022 	
character=Elder Woman	name=Onh S. Phabmixay	episodes=1 episode, 2022 	
character=Officer Krause	name=Jonathan Stanley	episodes=1 episode, 2022 	
character=Darryl	name=Jordan Wall	episodes=1 episode, 2022 	
character=Donald Bradehoft	name=Tony Robinette	episodes=1 episode, 2022 	
character=Nick	name=Spencer Squire	episodes=1 episode, 2022 	
character=Catherine Straughter	name=Rosemary Thomas	episodes=1 episode, 2022 	
character=Janie Hagen	name=Ava Ticotin	episodes=1 episode, 2022 	
character=Father Hecker	name=Tom Virtue	episodes=1 episode, 2022 	
character=Waiter	name=Noah Staggs	episodes=1 episode, 2022 	
character=Lieutenant Perez	name=Mike Estes	episodes=1 episode, 2022 	
character=Sam	name=Christian Weissmann	episodes=1 episode, 2022 	
character=Coroner	name=Mathew Trent Hunnicutt	episodes=1 episode, 2022 	
character=Detective	name=James Hunter	episodes=1 episode, 2022 	
character=Officer P.D.	name=Aaron Segal	episodes=1 episode, 2022 	
character=Sysamone	name=Michelle Ku	episodes=1 episode, 2022 	
character=Club Patron	name=Süfyan Elmoumi	episodes=1 episode, 2022 	
character=Club Patron	name=Harry L. Michaels Jr.	episodes=1 episode, 2022 	
character=Officer	name=Robby Descant	episodes=1 episode, 2022 	
character=Club Patron	name=Mark Arnold	episodes=1 episode, 2022 	
character=Prisoner	name=Paul Krugman	episodes=1 episode, 2022 	
character=Student	name=Ryan Rathbun	episodes=1 episode, 2022 	
character=Mean Girl	name=Nicole Alicia Xavier	episodes=2 episodes, 2022 	
character=Diner Patron	name=Johnny Mansbach	episodes=2 episodes, 2022 	
character=Club Patron	name=Brent Curtis	episodes=2 episodes, 2022 	
character=Realtor	name=Nancy Harding	episodes=1 episode, 2022 	
character=City Hall Worker	name=Frank Scozzari	episodes=1 episode, 2022 	
character=Loatian Wedding Guest	name=Ansa Woo	episodes=1 episode, 2022 	
character=Friend	name=Lola Rae Crist	episodes=1 episode, 2022 	
character=Factory Worker	name=Luke Matheis	episodes=1 episode, 2022 	
character=Mourner	name=Vance Duplechin	episodes=1 episode, 2022 	
character=Club Patron	name=Darren Shin	episodes=1 episode, 2022 	
character=Guard	name=Jamal Lloyd Johnson	episodes=1 episode, 2022 	
character=Chapel Inmate	name=Tyler Prince	episodes=1 episode, 2022 	
character=Courtroom Gallery	name=Baker Wiles	episodes=1 episode, 2022 	
character=Club Patron	name=Gaylord Swaby	episodes=1 episode, 2022 	
character=Prisoner	name=Lion Orduño	episodes=1 episode, 2022 	
