# http://fitlayout.github.io/resource/art50 -> https://www.imdb.com/title/tt1796960/fullcredits/
character=Carrie Mathison	name=Claire Danes	episodes=96 episodes, 2011-2020 	
character=Hans Podolski	name=Sebastian Hülk	episodes=5 episodes, 2015 	
character=Farhad Ghazi	name=Tamer Burjaq	episodes=4 episodes, 2014 	
character=Sekou Bah	name=J. Mallory McCree	episodes=4 episodes, 2016-2017 	
character=Korzenik	name=Sven Schelker	episodes=4 episodes, 2015 	
character=Aby Bah	name=Zainab Jah	episodes=4 episodes, 2016-2017 	
character=Joe Crocker	name=John Getz	episodes=4 episodes, 2014-2017 	
character=Hank Wonham	name=Alex Lanipekun	episodes=4 episodes, 2014-2015 	
character=Simone Bah	name=Ashlei Sharpe Chestnut	episodes=4 episodes, 2016-2017 	
character=Christine Lonas	name=Marin Hinkle	episodes=4 episodes, 2017-2018 	
character=Conrad Fuller	name=Morocco Omari	episodes=4 episodes, 2015 	
character=Alan Hensleigh	name=Nick Boraine	episodes=4 episodes, 2014 	
character=Cynthia Walden	name=Talia Balsam	episodes=4 episodes, 2012 	
character=Leo Carras	name=Sam Underwood	episodes=4 episodes, 2013 	
character=Sharon Aldright	name=Lesli Margherita	episodes=4 episodes, 2017-2018 	
character=Parvez	name=Meren Reddy	episodes=4 episodes, 2014 	
character=Saad Mahsud	name=Leo Manzari	episodes=4 episodes, 2016-2017 	
character=Reiko Umon	name=Julee Cerda	episodes=4 episodes, 2017-2018 	
character=Special Agent Hall	name=Billy Smith	episodes=4 episodes, 2011-2013 	
character=BND Officer Adler	name=Martin Wuttke	episodes=4 episodes, 2015 	
character=Firooz	name=Mustafa Haidari	episodes=4 episodes, 2020 	
character=Specialist Charlie Stoudt	name=Emilio Cuesta	episodes=4 episodes, 2020 	
character=Tech	name=Gary Green	episodes=4 episodes, 2014 	
character=Betsy Kenny	name=Allie McCulloch	episodes=4 episodes, 2012 	
character=Hanif	name=Reza Brojerdi	episodes=4 episodes, 2015 	
character=Saad	name=Mohamed Attougui	episodes=4 episodes, 2017-2020 	
character=Agent Maslin	name=Matt Servitto	episodes=3 episodes, 2018 	
character=Elizabeth Gaines	name=Linda Purl	episodes=3 episodes, 2011 	
character=Dorit	name=Jacqueline Antaramian	episodes=3 episodes, 2017-2020 	
character=George Pallis	name=David Thornton	episodes=3 episodes, 2017 	
character=Farhad Nafisi	name=Bernard White	episodes=3 episodes, 2017 	
character=Dr. Meyer	name=Sakina Jaffrey	episodes=3 episodes, 2018 	
character=Rahim	name=Akshay Kumar	episodes=3 episodes, 2014 	
character=Nate Joseph	name=Seth Numrich	episodes=3 episodes, 2017 	
character=Raqim Faisel	name=Omid Abtahi	episodes=3 episodes, 2011 	
character=Bo Elkins	name=David Maldonado	episodes=3 episodes, 2018 	
character=Tova Rivlin	name=Hadar Ratzon Rotem	episodes=3 episodes, 2015-2017 	
character=Vanessa Kroll	name=Karen Pittman	episodes=3 episodes, 2020 	
character=Helen Walker	name=Afton Williamson	episodes=3 episodes, 2011 	
character=Stein	name=William Popp	episodes=3 episodes, 2018 	
character=Mansour Al-Zahrani	name=Ramsey Faragallah	episodes=3 episodes, 2011 	
character=M.M.	name=Mido Hamada	episodes=3 episodes, 2012 	
character=Staff Sergeant Justin Wenzel	name=Victor Almanzar	episodes=3 episodes, 2020 	
character=Clarice	name=Mickey O	episodes=3 episodes, 2016-2017 	
character=Clarice	name=Hagan	episodes=3 episodes, 2016-2017 	
character=J.J. Elkins	name=Colton Ryan	episodes=3 episodes, 2018 	
character=Paul Franklin	name=Jason Butler Harner	episodes=3 episodes, 2013 	
character=Brian Chase	name=Aidan Whytock	episodes=3 episodes, 2014 	
character=General Owens	name=Terry Serpico	episodes=3 episodes, 2020 	
character=Michael Higgins	name=William Sadler	episodes=3 episodes, 2013 	
character=Jim	name=Damian Young	episodes=3 episodes, 2018 	
character=Latif Bin Walid	name=Alok Tewari	episodes=3 episodes, 2011 	
character=Qadir	name=Zahir Bassa	episodes=3 episodes, 2014 	
character=Hussein	name=Mehdi Nebbou	episodes=3 episodes, 2015 	
character=Eric Baraz	name=Jaylen Moore	episodes=3 episodes, 2013-2020 	
character=General Mears	name=Eugene Lee	episodes=3 episodes, 2020 	
character=Dr. Troy Richardson	name=Gary Wilmes	episodes=3 episodes, 2013 	
character=Navid	name=Ahmed Lucan	episodes=3 episodes, 2013 	
character=Pittman	name=Jason Hatfield	episodes=3 episodes, 2011 	
character=Ambassador Gaeto	name=Tracy Shayne	episodes=3 episodes, 2020 	
character=CIA Tech	name=Jason Davis	episodes=3 episodes, 2011-2012 	
character=Mary Elkins	name=Annie Humphrey	episodes=3 episodes, 2018 	
character=Aide to Estes	name=Viviana Chavez	episodes=3 episodes, 2011-2012 	
character=TV Anchor	name=Max Volkert Martens	episodes=3 episodes, 2015 	
character=Zaheer	name=Tamer Arslan	episodes=3 episodes, 2015 	
character=Female Marine	name=Candice D	episodes=3 episodes, 2014 	
character=Female Marine	name=Arcy	episodes=3 episodes, 2014 	
character=Thompson	name=Jessica Dickey	episodes=3 episodes, 2017 	
character=Anchor	name=Caroline Renfro	episodes=3 episodes, 2011-2013 	
character=Victor	name=Benjamin Hicquel	episodes=3 episodes, 2020 	
character=Police Commander	name=Matthias Gall	episodes=3 episodes, 2015 	
character=News Anchor	name=Laura French	episodes=3 episodes, 2018 	
character=Landlady	name=Emily Walker	episodes=2 episodes, 2014 	
character=General Rossen	name=Fredric Lehne	episodes=2 episodes, 2018 	
character=Fariba Javadi	name=Mary Apick	episodes=2 episodes, 2013 	
character=Marjorie Diehl	name=Deborah Hedwall	episodes=2 episodes, 2017 	
character=Charlotte Benson	name=Robin McLeavy	episodes=2 episodes, 2020 	
character=Arman	name=Mohammad Amiri	episodes=2 episodes, 2020 	
character=Major Foster	name=Scott Bryce	episodes=2 episodes, 2011 	
character=Dr. Emory	name=Rus Blackwell	episodes=2 episodes, 2015 	
character=Roger	name=Ian Kahn	episodes=2 episodes, 2017 	
character=Tailor	name=Nasser Faris	episodes=2 episodes, 2011-2012 	
character=Mitchell Clawson	name=Chance Kelly	episodes=2 episodes, 2012-2013 	
character=Masud Sherazi	name=David Diaan	episodes=2 episodes, 2013 	
character=Dr. Aman Aziz	name=Rachid Sabitri	episodes=2 episodes, 2015 	
character=Larry	name=James Urbaniak	episodes=2 episodes, 2011-2012 	
character=Prince Farid Bin Abbud	name=Amir Arison	episodes=2 episodes, 2011 	
character=Senator Elian Coto	name=Alfredo Narciso	episodes=2 episodes, 2016-2017 	
character=Imam Rafan Gohar	name=Sammy Sheik	episodes=2 episodes, 2011 	
character=Danesh Akbari	name=Houshang Touzie	episodes=2 episodes, 2013 	
character=Samir Khalil	name=Makram Khoury	episodes=2 episodes, 2015 	
character=Anna Pomerantseva	name=Tatyana Mukha	episodes=2 episodes, 2020 	
character=Hafez 	name=Donnie Keshawarz	episodes=2 episodes, 2013 	
character=A-Z	name=Donnie Keshawarz	episodes=2 episodes, 2013 	
character=Azizi	name=Donnie Keshawarz	episodes=2 episodes, 2013 	
character=Boris	name=Steve Nicolson	episodes=2 episodes, 2015 	
character=Erna Richter	name=Stefanie Mueller	episodes=2 episodes, 2015 	
character=Fatima Ali	name=Clara Khoury	episodes=2 episodes, 2012 	
character=Leland Bennett	name=Martin Donovan	episodes=2 episodes, 2013 	
character=Yousef Turani	name=Jared Farid Ward	episodes=2 episodes, 2013 	
character=El Nino	name=Manny Perez	episodes=2 episodes, 2013 	
character=Susan Roberts	name=Emily Donahoe	episodes=2 episodes, 2013 	
character=Franny	name=Luna Pfitzer	episodes=2 episodes, 2015 	
character=Rachel Crofts	name=Orlagh Cassidy	episodes=2 episodes, 2017 	
character=Attorney General Hoberman	name=Barbara Rosenblat	episodes=2 episodes, 2018 	
character=Sanders	name=Charles Borland	episodes=2 episodes, 2011 	
character=Dr. Cass Winthrop	name=Stephen Schnetzer	episodes=2 episodes, 2013 	
character=Josie	name=Tal Raviv	episodes=2 episodes, 2014 	
character=Ahmed Nazari	name=Darwin Shaw	episodes=2 episodes, 2015 	
character=Charlotte	name=Jennifer Ferrin	episodes=2 episodes, 2018 	
character=Andy Burke	name=Justin Kucsulain	episodes=2 episodes, 2018 	
character=Samira Noori	name=Sitara Attaie	episodes=2 episodes, 2020 	
character=Lynne Reed	name=Brianna Brown	episodes=2 episodes, 2011 	
character=Abby	name=Marcia DeBonis	episodes=2 episodes, 2013 	
character=Josh Modarres	name=Leo Solomon	episodes=2 episodes, 2013 	
character=Al-Amin	name=George Georgiou	episodes=2 episodes, 2015 	
character=Franny	name=Lotta Pfitzer	episodes=2 episodes, 2015 	
character=Tommy	name=Bobby Moreno	episodes=2 episodes, 2016-2017 	
character=Trent	name=Bradford Anderson	episodes=2 episodes, 2017 	
character=Greg Merriles	name=Alexander Gemignani	episodes=2 episodes, 2012 	
character=Ruby	name=Lee Raviv	episodes=2 episodes, 2014 	
character=Marine Sergeant	name=Anton David Jeftha	episodes=2 episodes, 2014 	
character=Father	name=Riaz Solker	episodes=2 episodes, 2014 	
character=Kiran	name=Riaz Solker	episodes=2 episodes, 2014 	
character=Audrey Navarro	name=Tricia Paoluccio	episodes=2 episodes, 2018 	
character=Richard Halsted	name=Larry Pine	episodes=2 episodes, 2011-2012 	
character=Stacy Moore	name=Melissa Benoist	episodes=2 episodes, 2011 	
character=Matt	name=Reggie Austin	episodes=2 episodes, 2011 	
character=Inez	name=Jeanette Dilone	episodes=2 episodes, 2012 	
character=Drone Operator	name=Justin Munitz	episodes=2 episodes, 2014 	
character=Chief Cullen	name=Mitchell Hall	episodes=2 episodes, 2017-2020 	
character=Barlas	name=Sharif Dorani	episodes=2 episodes, 2020 	
character=Maddie	name=Chelsea Cardwell	episodes=2 episodes, 2011 	
character=Nurse	name=Nicole Sherwin	episodes=2 episodes, 2014 	
character=Lucas Walker	name=Jaden Harmon	episodes=2 episodes, 2011 	
character=Faisal Marwan	name=Ercan Durmaz	episodes=2 episodes, 2015 	
character=Arthur Rubin	name=Christian Serritiello	episodes=2 episodes, 2015 	
character=Ruby Mathison	name=Renee St. Gelais	episodes=2 episodes, 2011 	
character=Susan	name=Debra Terry	episodes=2 episodes, 2012 	
character=Amanda Lambert	name=Jennifer Marsala	episodes=2 episodes, 2013 	
character=Dave Weissman	name=Jack Solomon	episodes=2 episodes, 2013 	
character=FBI Agent Goodman	name=Cory Hart	episodes=2 episodes, 2018 	
character=Lupe	name=Rose Bianco	episodes=2 episodes, 2012 	
character=Aram	name=Mehul Shah	episodes=2 episodes, 2013 	
character=Nanny	name=Jo Dee Butler	episodes=2 episodes, 2014 	
character=Latisha	name=Elena Hurst	episodes=2 episodes, 2016-2017 	
character=Chief Mechanic Worley	name=Michael Rabe	episodes=2 episodes, 2020 	
character=Elizabeth Chu	name=Vickie Eng	episodes=2 episodes, 2011-2018 	
character=Estes Aide	name=Jay Gates	episodes=2 episodes, 2011-2018 	
character=Cleric	name=Jamal Mukaddam	episodes=2 episodes, 2014 	
character=President Daoud	name=Christopher Maleki	episodes=2 episodes, 2020 	
character=Parker	name=Alex Brock	episodes=2 episodes, 2020 	
character=Josie Mathison	name=Rachel St. Gelais	episodes=2 episodes, 2011 	
character=Katja	name=Anna Herrmann	episodes=2 episodes, 2015 	
character=Newscaster	name=Katharina Schlothauer	episodes=2 episodes, 2015 	
character=Ellen Lichter	name=Charmin Lee	episodes=2 episodes, 2018 	
character=Pres. Aide Ashley	name=Cara Reid	episodes=2 episodes, 2018 	
character=Hagan	name=Matthew Streeter	episodes=2 episodes, 2017 	
character=Agent Rice	name=Juan-Pablo Veizaga	episodes=2 episodes, 2011-2017 	
character=Mrs. Tanya Shepherd	name=Peggy Sheffield	episodes=2 episodes, 2018 	
character=Orzala Fayez	name=Laila Alj	episodes=2 episodes, 2020 	
character=FBI Swat Team Leader	name=Jeff Albertson	episodes=2 episodes, 2011-2012 	
character=Massey	name=Nick Ritacco	episodes=2 episodes, 2017 	
character=Officer Jeffries	name=Isaiah Stratton	episodes=2 episodes, 2018 	
character=Martinez	name=Blas Sien Diaz	episodes=2 episodes, 2013 	
character=Düring Receptionist	name=Noémi Besedes	episodes=2 episodes, 2015 	
character=U.S. Attorney Ortiz	name=Debbie Troche	episodes=2 episodes, 2016-2017 	
character=CIA Driver	name=Cal Johnson	episodes=2 episodes, 2012 	
character=Gene	name=Terry Dale Parks	episodes=2 episodes, 2013 	
character=Drone Officer	name=Lemogang Tsipa	episodes=2 episodes, 2014 	
character=Reporter 	name=Jenna Wolfe	episodes=2 episodes, 2017 	
character=Reporter Tom	name=Kelly Miller	episodes=2 episodes, 2017 	
character=Adama	name=Nikki Massoud	episodes=2 episodes, 2016-2017 	
character=Reporter 	name=Obaid Kadwani	episodes=2 episodes, 2016-2017 	
character=Palestinian Policeman	name=Mouhcine Malzi	episodes=2 episodes, 2017 	
character=Jeff	name=Daniel Newman	episodes=2 episodes, 2013 	
character=Bahar	name=Amal Essaqr	episodes=2 episodes, 2013 	
character=Secret Service Agent	name=Kendrick Cross	episodes=2 episodes, 2018 	
character=English Interpreter	name=Karen Gagnon	episodes=2 episodes, 2018 	
character=Aide	name=Laura Morgan	episodes=2 episodes, 2020 	
character=CNB News Anchor	name=Kristen McFann	episodes=2 episodes, 2013 	
character=Rudy McCoy	name=Jonah Lotan	episodes=2 episodes, 2012 	
character=Flight Ops	name=Lauren Hooper	episodes=2 episodes, 2020 	
character=Orderly	name=Stephen Caudill	episodes=2 episodes, 2013 	
character=CIA Officer Richard	name=Richard De Mayo	episodes=2 episodes, 2020 	
character=Khalid	name=Abdenbi El Beniwi	episodes=2 episodes, 2020 	
character=Prison Guard	name=Jose Guns Alves	episodes=1 episode, 2016-2017 	
character=Police Officer	name=Adam Vernier	episodes=1 episode, 2013 	
character=Aide	name=Bradley Nnadi	episodes=1 episode, 2018 	
character=ER Nurse	name=Dreah Marie	episodes=1 episode, 2018 	
character=FBI Tech	name=Alan Boell	episodes=1 episode, 2018 	
character=Prison Guard Davis	name=Mike Whaley	episodes=1 episode, 2018 	
character=Frankie Podesta	name=Yael Sharoni	episodes=1 episode, 2012 	
character=Courtroom Participant	name=Tsedey Aragie	episodes=2 episodes, 2018 	
character=Ellen Mathison	name=Victoria Clark	episodes=1 episode, 2014 	
character=Kevin Dance	name=Chris Bauer	episodes=1 episode, 2020 	
character=Jordan Harris	name=Adam Godley	episodes=1 episode, 2014 	
character=Rhonda	name=Adrienne C. Moore	episodes=1 episode, 2018 	
character=Young Saul	name=Ben Savage	episodes=1 episode, 2020 	
character=Mercedes Acosta	name=Rachel Ticotin	episodes=1 episode, 2017 	
character=Olivia	name=Francesca Faridany	episodes=1 episode, 2018 	
character=Congressman Richard Johnson	name=Joe Urla	episodes=1 episode, 2011 	
character=Detective Calvin Johnson	name=Clark Johnson	episodes=1 episode, 2013 	
character=Aaron	name=Patrick St. Esprit	episodes=1 episode, 2014 	
character=Rob	name=Mike McColl	episodes=1 episode, 2014 	
character=Dick	name=Terry Maratos	episodes=1 episode, 2014 	
character=Hajik	name=Jarreth J. Merz	episodes=1 episode, 2015 	
character=Rudy	name=Chris Coy	episodes=1 episode, 2017 	
character=Jackie Goodman	name=Chinasa Ogbuagu	episodes=1 episode, 2018 	
character=Donnell	name=Donnell	episodes=1 episode, 2011 	
character=Donnell	name=Lawrence O	episodes=1 episode, 2011 	
character=Lawrence O	name=Donnell	episodes=1 episode, 2011 	
character=Lawrence O	name=Lawrence O	episodes=1 episode, 2011 	
character=Russ	name=Joe Ward	episodes=1 episode, 2011 	
character=President Morse	name=Alan Dale	episodes=1 episode, 2017 	
character=Naser	name=Anthony Azizi	episodes=1 episode, 2017 	
character=Frank Kolacek	name=Gabe Fazio	episodes=1 episode, 2017 	
character=Senator Richard Eames	name=Geoff Pierson	episodes=1 episode, 2018 	
character=Josh	name=Alex Hurt	episodes=1 episode, 2018 	
character=FBI Director Stendig	name=Brian O	episodes=1 episode, 2018 	
character=FBI Director Stendig	name=Neill	episodes=1 episode, 2018 	
character=Doris Warner	name=Kate Burton	episodes=1 episode, 2020 	
character=Issa Nazir	name=Rohan Chand	episodes=1 episode, 2011 	
character=Major General Tony Trujillo	name=Nestor Serrano	episodes=1 episode, 2011 	
character=Kyle Galyean	name=Trent Dawson	episodes=1 episode, 2011 	
character=Clerk	name=Bridget Gethins	episodes=1 episode, 2011 	
character=Esme	name=Martina García	episodes=1 episode, 2013 	
character=Billy	name=Joseph Mydell	episodes=1 episode, 2014 	
character=Dr. Helen Byatt	name=Fiona Ramsay	episodes=1 episode, 2014 	
character=Shopkeeper	name=Jòvan Muthray	episodes=1 episode, 2014 	
character=Mike Brown	name=Max Beesley	episodes=1 episode, 2015 	
character=General Youssef	name=Igal Naor	episodes=1 episode, 2015 	
character=Esam	name=Ori Yaniv	episodes=1 episode, 2015 	
character=Dr. Schouten	name=David Adkins	episodes=1 episode, 2017 	
character=Security Officer	name=Christian Keiber	episodes=1 episode, 2017 	
character=Detective	name=Kim Sykes	episodes=1 episode, 2018 	
character=Valeri	name=Johnny Kostrey	episodes=1 episode, 2020 	
character=Afsal Hamid	name=Waleed Zuaiter	episodes=1 episode, 2011 	
character=Chip Shooter Haigh	name=Sherman Howard	episodes=1 episode, 2011 	
character=William Pritchard	name=Remy Auberjonois	episodes=1 episode, 2011 	
character=Erin Kimball	name=Amy Morton	episodes=1 episode, 2013 	
character=Doctor	name=Erik Dellums	episodes=1 episode, 2013 	
character=Sandy Bachman	name=Corey Stoll	episodes=1 episode, 2014 	
character=Tim	name=Callan McAuliffe	episodes=1 episode, 2014 	
character=S.F. 	name=Tyrone Keogh	episodes=1 episode, 2014 	
character=BND Officer Keller	name=Rainer Bock	episodes=1 episode, 2015 	
character=Behruz	name=Mousa Hussein Kraish	episodes=1 episode, 2015 	
character=Sabine	name=Janina Blohm-Sievers	episodes=1 episode, 2015 	
character=Christopher	name=Philip Casnoff	episodes=1 episode, 2017 	
character=Martha Raddatz	name=Martha Raddatz	episodes=1 episode, 2017 	
character=Carl	name=David Neal Levin	episodes=1 episode, 2018 	
character=Russian Singer	name=Marina Chello	episodes=1 episode, 2018 	
character=Claudette Fletcher	name=Hilary Jardine	episodes=1 episode, 2020 	
character=Tolya	name=Anton Narinskiy	episodes=1 episode, 2020 	
character=Youseff Afridi	name=Narinder Samra	episodes=1 episode, 2020 	
character=Young Man	name=Gabe Begneaud	episodes=1 episode, 2011 	
character=Reporter	name=Israel Balderas	episodes=1 episode, 2011 	
character=Dr. Jeremy	name=Benjamin Pelteson	episodes=1 episode, 2011 	
character=David Portillo	name=Pedro Pascal	episodes=1 episode, 2013 	
character=Captain Lonza	name=Vincent Irizarry	episodes=1 episode, 2013 	
character=Dr. Harlan	name=David Aaron Baker	episodes=1 episode, 2013 	
character=Mossad Agent	name=Jeff Seymour	episodes=1 episode, 2013 	
character=J.G. Edgars	name=Bradley James	episodes=1 episode, 2014 	
character=Dale	name=Scot Cooper	episodes=1 episode, 2014 	
character=S.F. 	name=Dylan Edy	episodes=1 episode, 2014 	
character=Cop	name=Mahmood Muhammed	episodes=1 episode, 2014 	
character=Scott	name=William R. Moses	episodes=1 episode, 2015 	
character=Waleed	name=Assaad Bouab	episodes=1 episode, 2015 	
character=Igal	name=Oshri Cohen	episodes=1 episode, 2015 	
character=Üter	name=Reymonde Amsallem	episodes=1 episode, 2015 	
character=Wife	name=Reymonde Amsallem	episodes=1 episode, 2015 	
character=Tatiana	name=Carol Schuler	episodes=1 episode, 2015 	
character=Concierge	name=Robert Schupp	episodes=1 episode, 2015 	
character=ESU Captain Wilson	name=Robert T. Bogue	episodes=1 episode, 2017 	
character=Policeman	name=Jacinto Taras Riddick	episodes=1 episode, 2017 	
character=Clayton	name=Thomas G. Waites	episodes=1 episode, 2018 	
character=Berkle	name=Andrew Borba	episodes=1 episode, 2020 	
character=Ambassador Rashad	name=Samrat Chakrabarti	episodes=1 episode, 2020 	
character=Major Zulfikar	name=Ismail Bashey	episodes=1 episode, 2020 	
character=Andrei Kuznetsov	name=Sergey Nasibov	episodes=1 episode, 2020 	
character=Jeff	name=James Allen McCune	episodes=1 episode, 2011 	
character=Isabel Samler	name=Elizabeth Franz	episodes=1 episode, 2011 	
character=Bo Hall	name=Michael H. Cole	episodes=1 episode, 2011 	
character=Gloria the Nurse	name=Gina Stewart	episodes=1 episode, 2011 	
character=Sniper	name=Michael Killian	episodes=1 episode, 2011 	
character=Officer Julia Diaz	name=Daniella Pineda	episodes=1 episode, 2012 	
character=Jeff Ricker	name=John Cariani	episodes=1 episode, 2012 	
character=Robert Valence	name=David Bishins	episodes=1 episode, 2012 	
character=Yousef	name=Bobak Bakhtiari	episodes=1 episode, 2013 	
character=Clerk	name=Buzz Bovshow	episodes=1 episode, 2013 	
character=Doctor	name=Kevin Otto	episodes=1 episode, 2014 	
character=Private Bryce	name=Thabo Rametsi	episodes=1 episode, 2014 	
character=Tom	name=Lance Elliot	episodes=1 episode, 2014 	
