# http://fitlayout.github.io/resource/art38 -> https://www.imdb.com/title/tt2149175/fullcredits/
character=Elizabeth Jennings	name=Keri Russell	episodes=75 episodes, 2013-2018 	
character=Yousaf Rana	name=Rahul Khanna	episodes=6 episodes, 2014-2015 	
character=Young Hee Seong	name=Ruthie Ann Miles	episodes=6 episodes, 2016 	
character=Zinaida Preobrazhenskaya	name=Svetlana Efremova	episodes=6 episodes, 2015 	
character=Jared Connors	name=Owen Campbell	episodes=6 episodes, 2014 	
character=Kate	name=Wrenn Schmidt	episodes=6 episodes, 2014 	
character=Gene Craft	name=Luke Robertson	episodes=6 episodes, 2014-2015 	
character=Agent Ganzel	name=Joseph Melendez	episodes=6 episodes, 2016-2018 	
character=Hank	name=Andy Taylor	episodes=6 episodes, 2018 	
character=Father Andrei	name=Konstantin Lavysh	episodes=5 episodes, 2017-2018 	
character=Gennadi Bystrov	name=Yuri Kolokolnikov	episodes=5 episodes, 2017-2018 	
character=Fyodor Nesterenko	name=Alex Feldman	episodes=5 episodes, 2018 	
character=Vlad	name=Vitaly Benko	episodes=5 episodes, 2013-2014 	
character=Benjamin Stobert	name=Brett Tucker	episodes=5 episodes, 2017 	
character=Anatoli Victorovich	name=Oleg Stefan	episodes=5 episodes, 2017 	
character=Lacey	name=Irene Sofia Lucio	episodes=5 episodes, 2018 	
character=Guitar Player	name=David Spadora	episodes=5 episodes, 2014-2017 	
character=Mother	name=Masha Borovikova	episodes=3 episodes, 2013-2016 	
character=Elizabeth	name=Masha Borovikova	episodes=3 episodes, 2013-2016 	
character=Gregory Thomas	name=Derek Luke	episodes=4 episodes, 2013-2018 	
character=Charles Duluth	name=Reg Rogers	episodes=4 episodes, 2013-2015 	
character=Lucia	name=Aimee Carrero	episodes=4 episodes, 2014 	
character=Sanford Prince	name=Tim Hopper	episodes=4 episodes, 2013-2014 	
character=Annelise	name=Gillian Alexy	episodes=4 episodes, 2013-2015 	
character=Walter Taffet	name=Jefferson Mays	episodes=4 episodes, 2015 	
character=Deirdre Kemp	name=Clea Lewis	episodes=4 episodes, 2017 	
character=Don Seong	name=Rob Yang	episodes=4 episodes, 2016 	
character=Stepan	name=Vitali Baganov	episodes=4 episodes, 2018 	
character=George	name=David Adkins	episodes=4 episodes, 2013-2014 	
character=Father	name=Alexei Bondar	episodes=4 episodes, 2017 	
character=Philip	name=Alexei Bondar	episodes=4 episodes, 2017 	
character=Sarah	name=Kasey Lee	episodes=4 episodes, 2016 	
character=Six-Year-Old Philip	name=Gabriel Gurevich	episodes=4 episodes, 2017-2018 	
character=Bobby	name=Zach Lee	episodes=4 episodes, 2016 	
character=Sue	name=Blythe Sim	episodes=4 episodes, 2016 	
character=Kirill	name=Nikolai Tsankov	episodes=4 episodes, 2018 	
character=Isaac Breland	name=Frank Deal	episodes=3 episodes, 2015-2017 	
character=General Vijktor Zhukov	name=Olek Krupa	episodes=3 episodes, 2013-2017 	
character=Lyle Rennhull	name=Victor Slezak	episodes=3 episodes, 2013-2018 	
character=Evi Sneijder	name=Katja Herbers	episodes=3 episodes, 2015 	
character=Bill Hanson	name=Richard Kline	episodes=3 episodes, 2013-2016 	
character=Lawrence	name=Scott William Winters	episodes=3 episodes, 2015-2016 	
character=Tori	name=Callie Thorne	episodes=3 episodes, 2015-2016 	
character=Agent Delluva	name=Daryl Edwards	episodes=3 episodes, 2018 	
character=Ekaterina Rykova	name=Alla Kliouka	episodes=3 episodes, 2017 	
character=Dmitri Sharonov	name=Leon Mandel	episodes=3 episodes, 2017 	
character=Todd	name=Will Pullen	episodes=3 episodes, 2015 	
character=Maurice	name=Thaddeus Daniels	episodes=3 episodes, 2015 	
character=Major Kuznetsov	name=Sacha Seberg	episodes=3 episodes, 2017 	
character=Linh Gaad	name=Christine Toy Johnson	episodes=3 episodes, 2014-2017 	
character=KGB Man	name=Misha Kuznetsov	episodes=3 episodes, 2015 	
character=Agent Samuels	name=C.J. Wilson	episodes=3 episodes, 2013-2014 	
character=Howard	name=David Eichenbaum	episodes=3 episodes, 2015-2017 	
character=Abigail	name=Trish McCall	episodes=3 episodes, 2014 	
character=Elina	name=Lyanka Gryu	episodes=3 episodes, 2017-2018 	
character=Young Elizabeth	name=Alice Litvak	episodes=3 episodes, 2013-2016 	
character=Mother	name=Natia Dune	episodes=3 episodes, 2017 	
character=Philip	name=Natia Dune	episodes=3 episodes, 2017 	
character=Vera	name=Masha Pruss	episodes=3 episodes, 2014-2015 	
character=Belinda Oliver	name=Margaret Reed	episodes=3 episodes, 2018 	
character=Martin Gurrin	name=Brit Whittle	episodes=3 episodes, 2018 	
character=Curtis	name=Curtis Lyons	episodes=2 episodes, 2013-2018 	
character=Patrick McCleesh	name=Reed Birney	episodes=2 episodes, 2018 	
character=Jackson Barber	name=Austin Abrams	episodes=2 episodes, 2018 	
character=Viola Johnson	name=Tonye Patano	episodes=2 episodes, 2013 	
character=Nikolai Timoshev	name=David Vadim	episodes=2 episodes, 2013-2016 	
character=Kendall	name=Betsy Aidem	episodes=2 episodes, 2013 	
character=Mrs. Weinberger	name=Meg Gibson	episodes=2 episodes, 2013 	
character=Richard Patterson	name=Paul Fitzgerald	episodes=2 episodes, 2013 	
character=Leanne Connors	name=Natalie Gold	episodes=2 episodes, 2014 	
character=Bruce Dameran	name=Erik Jensen	episodes=2 episodes, 2014 	
character=Mossad Agent	name=Cliff Simon	episodes=2 episodes, 2014 	
character=Brad Mullin	name=Jefferson White	episodes=2 episodes, 2014 	
character=Elaine Hanson	name=Peggy J. Scott	episodes=2 episodes, 2013 	
character=Carl	name=Nick Bailey	episodes=2 episodes, 2014 	
character=Paul	name=Isaiah Stokes	episodes=2 episodes, 2013 	
character=Arthur	name=Remy Auberjonois	episodes=2 episodes, 2015 	
character=Reuben Ncgobo	name=Dwayne A. Thomas	episodes=2 episodes, 2015 	
character=Vaso	name=Zoran Radanovich	episodes=2 episodes, 2017 	
character=Polygraph Administrator	name=Paul Urcioli	episodes=2 episodes, 2014-2017 	
character=Kelli	name=Lizzy DeClement	episodes=2 episodes, 2014 	
character=Lydia Fomina	name=Julia Emelin	episodes=2 episodes, 2017 	
character=Janine Aderholt	name=Eboni Booth	episodes=2 episodes, 2018 	
character=Eugene Venter	name=Neil Sandilands	episodes=2 episodes, 2015 	
character=Neil	name=Bill Heck	episodes=2 episodes, 2015 	
character=Bob Tanner	name=Peter Hans Benson	episodes=2 episodes, 2014 	
character=FBI Agent	name=Gregory Abbey	episodes=2 episodes, 2013 	
character=Doug Tanner	name=Skylar Gaertner	episodes=2 episodes, 2014 	
character=Jackie	name=Danielle Lee Greaves	episodes=2 episodes, 2016 	
character=Technician	name=Matthew Stocke	episodes=2 episodes, 2013 	
character=Ted Paaswell	name=David Furr	episodes=2 episodes, 2015 	
character=Radio Operator	name=Dennis Kisilyov	episodes=2 episodes, 2016 	
character=Captain Staponov	name=Aleksey Solodov	episodes=2 episodes, 2017 	
character=Agent Pedersen	name=Jeremiah Wiggins	episodes=2 episodes, 2018 	
character=CIA Officer	name=Ted Koch	episodes=2 episodes, 2013-2017 	
character=Investigating Magistrate	name=Alim Kouliev	episodes=2 episodes, 2016 	
character=Christy Tanner	name=Julie Reiber	episodes=2 episodes, 2014 	
character=Wade	name=Tommy Schrider	episodes=2 episodes, 2014 	
character=Lewis Rendell	name=Graham Winton	episodes=2 episodes, 2014 	
character=Erica	name=Olivia Nikkanen	episodes=2 episodes, 2015-2017 	
character=Ilia	name=Azhy Robertson	episodes=2 episodes, 2018 	
character=Chris	name=Mavis Simpson-Ernst	episodes=2 episodes, 2017 	
character=Liya	name=Ella Ayberk	episodes=2 episodes, 2018 	
character=Thomas	name=Clarke Thorell	episodes=2 episodes, 2017 	
character=Dan Murton	name=Jonathan Kells Phillips	episodes=1 episode, 2018 	
character=Robert	name=Chase Coleman	episodes=1 episode, 2013 	
character=Christopher O	name=Sal Rendino	episodes=2 episodes, 2018 	
character=Keefe	name=Sal Rendino	episodes=2 episodes, 2018 	
character=Agent Bartholomew	name=Michael Gaston	episodes=1 episode, 2013 	
character=Natalie Granholm	name=Irina Dubova	episodes=1 episode, 2017 	
character=Joyce Ramirez	name=Audrey Esparza	episodes=1 episode, 2013 	
character=Irina	name=Marina Squerciati	episodes=1 episode, 2013 	
character=Adam Dorwin	name=Michael Countryman	episodes=1 episode, 2013 	
character=Emmett Connors	name=Jeremy Davidson	episodes=1 episode, 2014 	
character=Thane Rosenbloom	name=Geoffrey Cantor	episodes=1 episode, 2014 	
character=Theresa Rawlings	name=Marceline Hugot	episodes=1 episode, 2016 	
character=Assassin	name=Chris Sullivan	episodes=1 episode, 2013 	
character=Dana Simon	name=Johanna Day	episodes=1 episode, 2013 	
character=Kurt Schultz	name=John Dossett	episodes=1 episode, 2013 	
character=Andrzej Bielawski	name=Andrzej Krukowski	episodes=1 episode, 2013 	
character=John Skeevers	name=Zeljko Ivanek	episodes=1 episode, 2014 	
character=Aunt Helen	name=Kathleen Chalfant	episodes=1 episode, 2014 	
character=Randy Chilton	name=Brian McCarthy	episodes=1 episode, 2017 	
character=Weapons Dealer	name=Shuler Hensley	episodes=1 episode, 2013 	
character=David R. Sepsill	name=Joe Urla	episodes=1 episode, 2013 	
character=Jim Halliwell	name=John Bedford Lloyd	episodes=1 episode, 2014 	
character=Abassin Zadran	name=George Georgiou	episodes=1 episode, 2015 	
character=Father Viktor	name=Aleksandr Kuznetsov	episodes=1 episode, 2018 	
character=KGB Rezident	name=Eugene Alper	episodes=1 episode, 2018 	
character=Cal	name=Robert T. Bogue	episodes=1 episode, 2013 	
character=Jerry Clancy	name=Tom Riis Farrell	episodes=1 episode, 2013 	
character=Salvage Yard Owner	name=Kevin Nagle	episodes=1 episode, 2013 	
character=Betty Turner	name=Lois Smith	episodes=1 episode, 2015 	
character=Andy	name=Mark Lotito	episodes=1 episode, 2016 	
character=Boris	name=Gene Ravvin	episodes=1 episode, 2016 	
character=John Granholm	name=John Procaccino	episodes=1 episode, 2017 	
character=Alejandro	name=Esteban Benito	episodes=1 episode, 2018 	
character=Evan Urqhardt	name=Greg Hildreth	episodes=1 episode, 2018 	
character=Ray Fucci	name=Lou Martini Jr.	episodes=1 episode, 2013 	
character=Nick	name=Michael Oberholtzer	episodes=1 episode, 2013 	
character=Grayson	name=Grantham Coleman	episodes=1 episode, 2013 	
character=Agent Doherty	name=Adam Donshik	episodes=1 episode, 2013 	
character=TV News Anchor	name=Robert Stoeckle	episodes=1 episode, 2013 	
character=Salesman	name=John Rue	episodes=1 episode, 2014 	
character=Seal 	name=Will Blomker	episodes=1 episode, 2014 	
character=Dr. Robert Semel	name=John Hans Tester	episodes=1 episode, 2017 	
character=General Kovtun	name=Michael Khmurov	episodes=1 episode, 2018 	
character=FBI Agent	name=Kyle W. Brown	episodes=1 episode, 2018 	
character=Reporter	name=Nicole Sellars	episodes=1 episode, 2013 	
character=Agent 	name=Dylan Chalfy	episodes=1 episode, 2013 	
character=The Man	name=Gregory Porter Miller	episodes=1 episode, 2013 	
character=David	name=Brian J. Carter	episodes=1 episode, 2014 	
character=Military Officer	name=Steven Hauck	episodes=1 episode, 2014 	
character=Derek	name=Dave T. Koenig	episodes=1 episode, 2014 	
character=Father Rivas	name=David Anzuelo	episodes=1 episode, 2016 	
character=Elderly Super	name=Lou Bonacki	episodes=1 episode, 2016 	
character=Security Guard	name=José Alvarez	episodes=1 episode, 2016 	
character=Volodya	name=Alexander Rapoport	episodes=1 episode, 2017 	
character=Tony	name=Keenan Jolliff	episodes=1 episode, 2018 	
character=Jeremy Branch	name=Don Stephenson	episodes=1 episode, 2018 	
character=Agent Milbank	name=Ryan Farrell	episodes=1 episode, 2013 	
character=FBI Guy 	name=Matthew Lawler	episodes=1 episode, 2013 	
character=Agent Peters	name=Leif Riddell	episodes=1 episode, 2013 	
character=Trainer	name=Roman Roytberg	episodes=1 episode, 2013 	
character=Barb	name=Marisa Redanty	episodes=1 episode, 2013 	
character=Big Guy	name=Kevin Witt	episodes=1 episode, 2013 	
character=Naked Woman	name=Elizabeth Chestang	episodes=1 episode, 2013 	
character=Roy Oatway	name=Daniel London	episodes=1 episode, 2014 	
character=Ticket Agent	name=Yassmin Alers	episodes=1 episode, 2014 	
character=Zev	name=Ron Domingo	episodes=1 episode, 2014 	
character=Betsy McLellan	name=Marlie Hall	episodes=1 episode, 2014 	
character=Charlotte	name=Jordan Baker	episodes=1 episode, 2015 	
character=Caregiver	name=Cameron Adams	episodes=1 episode, 2015 	
character=Policeman	name=Kristof Reinharz	episodes=1 episode, 2016 	
character=Man 2	name=Walter Brandes	episodes=1 episode, 2016 	
character=Security Guard	name=Sedly Bloomfield	episodes=1 episode, 2017 	
character=M. Hanley	name=Evan Williams	episodes=1 episode, 2018 	
character=David Sato	name=Scott Takeda	episodes=1 episode, 2018 	
character=US Border Agent	name=Cullen R. Titmas	episodes=1 episode, 2018 	
character=Errol	name=Kevin McCormick	episodes=1 episode, 2013 	
character=Dmitri	name=Joris Stuyck	episodes=1 episode, 2013 	
character=FBI Agent 	name=Rick Kain	episodes=1 episode, 2013 	
character=Cashier	name=Garrett Hendricks	episodes=1 episode, 2013 	
character=Mechanic 	name=Chris Fischer	episodes=1 episode, 2013 	
character=Albert	name=David S. Lomax	episodes=1 episode, 2013 	
character=Minister	name=Bristol Pomeroy	episodes=1 episode, 2013 	
character=Card Dealer	name=Ariel Estrada	episodes=1 episode, 2013 	
character=Guard	name=Jeremy Holm	episodes=1 episode, 2014 	
character=Girl	name=Delphina Belle	episodes=1 episode, 2014 	
character=Rabbi	name=Adam Heller	episodes=1 episode, 2014 	
character=Edgar Thompson	name=Gary Galone	episodes=1 episode, 2014 	
character=Car Salesman	name=Andrew Dolan	episodes=1 episode, 2014 	
character=Rezidentura Officer	name=Sergey Nagorny	episodes=1 episode, 2014 	
character=Bartender	name=Laurie Folkes	episodes=1 episode, 2014 	
character=Mossad Agent Eti	name=Yoni Ben-Yehuda	episodes=1 episode, 2014 	
character=Young Woman	name=Whitney Maris Brown	episodes=1 episode, 2015 	
character=Fyodor	name=Dimiter D. Marinov	episodes=1 episode, 2016 	
character=Czech Pilot	name=Lars Gerhard	episodes=1 episode, 2016 	
character=Nikita	name=Stass Klassen	episodes=1 episode, 2017 	
character=KGB Archivist	name=Yevgeniy Dekhtyar	episodes=1 episode, 2017 	
character=Vince	name=Colton Ryan	episodes=1 episode, 2018 	
character=Salesman	name=James Hindman	episodes=1 episode, 2018 	
character=Russian Border Guard	name=Alexander Notkin	episodes=1 episode, 2018 	
character=Tour Guide	name=Bob Johnson	episodes=1 episode, 2018 	
character=Lana	name=Sadie Sink	episodes=1 episode, 2013 	
character=Guard 	name=Erik McKay	episodes=1 episode, 2013 	
character=FBI Tail Agent 	name=Douglas Taurel	episodes=1 episode, 2013 	
character=Reverend	name=Michael Genet	episodes=1 episode, 2013 	
character=Clerk	name=Anne Hubbard	episodes=1 episode, 2013 	
character=Deputy Undersecretary of Defense	name=Mark Zeisler	episodes=1 episode, 2013 	
character=School Principal	name=Brian Hotaling	episodes=1 episode, 2013 	
character=Vadim	name=Jakob Von Eichel	episodes=1 episode, 2013 	
character=Embassy Guard 	name=Paul Bonar	episodes=1 episode, 2013 	
character=Stuart Batlet	name=Steven Rishard	episodes=1 episode, 2014 	
character=Mr. Lia	name=Brent Langdon	episodes=1 episode, 2014 	
character=Pharmacist	name=Paul Juhn	episodes=1 episode, 2014 	
character=Janitor	name=Robert Jimenez	episodes=1 episode, 2014 	
character=Man	name=David Hess	episodes=1 episode, 2014 	
character=Anton	name=Abby Nelson	episodes=1 episode, 2014 	
character=Mistress	name=Abby Nelson	episodes=1 episode, 2014 	
character=Cop	name=Dan Cooney	episodes=1 episode, 2014 	
character=Officer	name=William Peden	episodes=1 episode, 2014 	
character=Mike	name=Ruari Fay	episodes=1 episode, 2015 	
character=FBI Agent 	name=William Broderick	episodes=1 episode, 2015 	
character=Female Janitor	name=Ozzie Stewart	episodes=1 episode, 2016 	
character=EST Leader	name=John Schiappa	episodes=1 episode, 2016 	
character=Airport Security Officer	name=Izzy Ruiz	episodes=1 episode, 2016 	
character=Prosecutor	name=Lev Kotlyar	episodes=1 episode, 2016 	
character=Marija	name=Nina Bell	episodes=1 episode, 2017 	
character=Memphis Woman	name=Janine DiVita	episodes=1 episode, 2017 	
character=KGB Officer	name=Serge Levin	episodes=1 episode, 2017 	
character=Bruce Tabenor	name=Michael Halling	episodes=1 episode, 2017 	
character=FBI Agent	name=Jabari Gray	episodes=1 episode, 2018 	
character=Agent Danner	name=Mark Aldrich	episodes=1 episode, 2018 	
character=C.I.D. Secretary	name=Larissa Laurel	episodes=1 episode, 2018 	
character=Prostitute	name=Elizabeth Masucci	episodes=1 episode, 2013 	
character=Woman	name=Laura Poe	episodes=1 episode, 2013 	
character=Man in Group	name=Henry Stram	episodes=1 episode, 2013 	
character=Cop 	name=Michael Devine	episodes=1 episode, 2013 	
character=Soviet Official	name=Leonid Citer	episodes=1 episode, 2013 	
character=Russian Doctor	name=Zenon Zeleniuch	episodes=1 episode, 2013 	
character=Sonya	name=Inna Beynishes	episodes=1 episode, 2013 	
character=Cook	name=Ryan McGinnis	episodes=1 episode, 2014 	
character=Security Guard	name=Trevor Dion Nicholas	episodes=1 episode, 2014 	
character=Raymond	name=Frank Harts	episodes=1 episode, 2014 	
character=Radio Operator	name=Stan Demidoff	episodes=1 episode, 2014 	
character=Phone Co. Representative	name=Ronica V. Reddick	episodes=1 episode, 2014 	
character=Kevin	name=Chris Gray	episodes=1 episode, 2015 	
character=Russian Thug	name=Roman Blat	episodes=1 episode, 2016 	
character=Hip Girl	name=Chelsea Sheets	episodes=1 episode, 2016 	
character=Secretary	name=Kimberly Huie	episodes=1 episode, 2017 	
character=Nancy	name=Candy Buckley	episodes=1 episode, 2017 	
character=Agent James	name=Victor Verhaeghe	episodes=1 episode, 2018 	
character=Boris	name=Gabriel Furman	episodes=1 episode, 2018 	
character=Teresa Vann	name=Tamara Fay	episodes=1 episode, 2018 	
character=Motorcyclist	name=Zoltán Hódi	episodes=1 episode, 2018 	
character=Alysse	name=Jess Fry	episodes=1 episode, 2018 	
character=Maître d	name=Tom Flynn	episodes=1 episode, 2013 	
character=Sarah	name=Jill Shackner	episodes=1 episode, 2013 	
character=Second Man in Group	name=Steve Belanger	episodes=1 episode, 2013 	
character=Ruben Hollander	name=Peter Levine	episodes=1 episode, 2013 	
character=Purse Snatch Victim	name=Latoya Duncan	episodes=1 episode, 2013 	
character=Cop 	name=Philip Hannah	episodes=1 episode, 2013 	
character=Amelia Connors	name=Gracie Lawrence	episodes=1 episode, 2014 	
character=Bartender	name=Jack O	episodes=1 episode, 2014 	
character=Bartender	name=Connell	episodes=1 episode, 2014 	
character=Javid	name=Mahadeo Shivraj	episodes=1 episode, 2014 	
character=Nancy	name=Blair Sams	episodes=1 episode, 2014 	
character=Kindly Man	name=Gannon McHale	episodes=1 episode, 2014 	
character=KGB Polygrapher	name=Mark Havlis	episodes=1 episode, 2014 	
character=Woman	name=Bari Hyman	episodes=1 episode, 2015 	
character=CIA Officer 1	name=Michael Bakkensen	episodes=1 episode, 2015 	
character=Piano Player	name=Roger Anthony	episodes=1 episode, 2015 	
character=Reporter	name=Cat Andersen	episodes=1 episode, 2015 	
character=Lance	name=Jack Haley	episodes=1 episode, 2015 	
character=KGB Woman	name=Mira Rakhmanova	episodes=1 episode, 2015 	
character=Delivery Woman	name=Mieke Stapelberg	episodes=1 episode, 2015 	
character=Secretary	name=Irina Abraham	episodes=1 episode, 2016 	
character=Blade	name=Vic Noto	episodes=1 episode, 2016-2017 	
character=Woman	name=Jane Brockman	episodes=1 episode, 2016 	
character=Border Patrol Officer	name=Brandon deSpain	episodes=1 episode, 2017 	
character=Kevin	name=Ephraim Birney	episodes=1 episode, 2017 	
character=Alan Streiter	name=Kingsley Leggs	episodes=1 episode, 2017 	
character=Rich	name=Ian Saint-Germain	episodes=1 episode, 2017 	
character=Teacher	name=Carole Denise Jones	episodes=1 episode, 2018 	
character=Hollie Gurrin	name=Lindsay K. Northen	episodes=1 episode, 2018 	
character=Dawn	name=Glenda Hoppe	episodes=1 episode, 2018 	
character=Concierge	name=Lucy Owen	episodes=1 episode, 2013 	
character=Agent Brenn	name=Mark Doherty	episodes=1 episode, 2013 	
character=Harry	name=Dylan Bluestone	episodes=1 episode, 2013 	
character=Security Officer	name=Michael Kennealy	episodes=1 episode, 2013 	
character=Fruit Stand Owner	name=Mark Becker	episodes=1 episode, 2013 	
character=Bernadette	name=Dana Eskelson	episodes=1 episode, 2014 	
character=KGB Agent 	name=Kirill Nikiforov	episodes=1 episode, 2014 	
character=Woman	name=Elena McGhee	episodes=1 episode, 2014 	
character=Aaron	name=Kelly Miller	episodes=1 episode, 2014 	
character=Student	name=Daniel Johnsen	episodes=1 episode, 2014 	
character=Mother	name=Jessica Wortham	episodes=1 episode, 2014 	
character=Nicole	name=Dominique Fishback	episodes=1 episode, 2015 	
character=Jennifer	name=Laura Heisler	episodes=1 episode, 2015 	
character=Social Worker	name=Gayle Samuels	episodes=1 episode, 2015 	
character=CIA Agent 	name=James Georgiades	episodes=1 episode, 2015 	
character=Memphis	name=James Georgiades	episodes=1 episode, 2015 	
character=Hotel Worker	name=Marty Brown	episodes=1 episode, 2015 	
character=Don	name=Hugh Cha	episodes=1 episode, 2016 	
character=Sister	name=Hugh Cha	episodes=1 episode, 2016 	
character=Husband	name=Hugh Cha	episodes=1 episode, 2016 	
character=Young Phillip	name=Aleksi Sefanov	episodes=1 episode, 2016 	
character=Guard	name=Justin Saj	episodes=1 episode, 2016 	
character=Yugoslav Guard 1	name=Aleksandar Filimonovic	episodes=1 episode, 2017 	
character=Pirogov	name=Neil Fleischer	episodes=1 episode, 2017 	
character=Little Olya	name=Lexie Foley	episodes=1 episode, 2017 	
character=CIA Driver	name=Ian McLaughlin	episodes=1 episode, 2017 	
character=Vivian	name=Sabrina Matarazzo	episodes=1 episode, 2018 	
character=Rich	name=Matthew Gumley	episodes=1 episode, 2013 	
character=Miss Radensky	name=Alice Spivak	episodes=1 episode, 2013 	
character=Nicaraguan Field Commander 1	name=Mauricio Ovalle	episodes=1 episode, 2014 	
character=Realtor	name=Liz Larsen	episodes=1 episode, 2015 	
character=Shane	name=David H. Holmes	episodes=1 episode, 2015 	
character=Tom	name=George R. Sheffey	episodes=1 episode, 2015 	
character=CIA Officer 2	name=Gregory Jones	episodes=1 episode, 2015 	
character=Drunkard	name=Kate Greer	episodes=1 episode, 2015 	
character=Elizabeth	name=Aleksandra Myrna	episodes=1 episode, 2015 	
character=Mother	name=Aleksandra Myrna	episodes=1 episode, 2015 	
character=Don	name=Hye Jin Jang	episodes=1 episode, 2016 	
character=Sister	name=Hye Jin Jang	episodes=1 episode, 2016 	
character=KGB Officer	name=Misha Suvorov	episodes=1 episode, 2016 	
character=Bully 	name=Peter KT Tzotchev	episodes=1 episode, 2016 	
character=Yugoslav Guard 2	name=Ivica Marc	episodes=1 episode, 2017 	
character=KGB Officer	name=Grisha Reydler	episodes=1 episode, 2017 	
character=Nelson	name=James Foster Jr.	episodes=1 episode, 2017 	
character=Tamara	name=Polina Gorman	episodes=1 episode, 2017 	
character=Brian	name=Luke Slattery	episodes=1 episode, 2018 	
character=Agent Hill	name=David M. Raine	episodes=1 episode, 2018 	
character=Aide 	name=Todd Bartels	episodes=1 episode, 2013 	
character=Seal 	name=William Popp	episodes=1 episode, 2014 	
character=Matteen	name=Ryan Shams	episodes=1 episode, 2014 	
character=Young Paige	name=Jeté Laurence	episodes=1 episode, 2015 	
character=Waitress	name=Daniella Rabbani	episodes=1 episode, 2015 	
character=Man	name=Zach Fischer	episodes=1 episode, 2015 	
character=Young Philip	name=Joshua Warr	episodes=1 episode, 2015 	
character=Bully 	name=Tyler Merna	episodes=1 episode, 2016 	
character=Linda	name=Rachel Hilson	episodes=1 episode, 2017 	
