# http://fitlayout.github.io/resource/art31 -> https://www.imdb.com/title/tt3488298/fullcredits/
character=Barb Hanlon	name=Felicity Huffman	episodes=29 episodes, 2015-2017 	
character=Douglas	name=Eugene Lee	episodes=1 episode, 2016 	
character=James	name=Tom McTigue	episodes=1 episode, 2016 	
character=Walter	name=Jarrett King	episodes=1 episode, 2016 	
character=Interviewee 	name=Sheryl Moore	episodes=1 episode, 2016 	
character=Jake	name=Adan Rocha	episodes=1 episode, 2017 	
character=Hesby Farm Worker	name=J. Francisco Rodriguez	episodes=1 episode, 2017 	
character=Arresting Officer 	name=Scott Mullins	episodes=1 episode, 2015 	
character=Gonzolaes	name=Eduardo Renteria	episodes=1 episode, 2015 	
character=Cashier	name=Sohail Lodhia	episodes=1 episode, 2015 	
character=Adrian	name=Robert Moraga	episodes=1 episode, 2015 	
character=McCarthy	name=David Maldonado	episodes=1 episode, 2016 	
character=Evans Webb	name=Matthew David Rudd	episodes=1 episode, 2016 	
character=Abigail	name=Jenny Phagan	episodes=1 episode, 2016 	
character=Choreographer	name=Andrew Noble	episodes=1 episode, 2016 	
character=Ishmael	name=Marwan Salama	episodes=1 episode, 2017 	
character=Parsons	name=Marcus M. Mauldin	episodes=1 episode, 2015 	
character=Leah	name=Laurel Penn	episodes=1 episode, 2015 	
character=Reyes	name=Jorge Rodas	episodes=1 episode, 2015 	
character=Citizen	name=Stewart McGregor	episodes=1 episode, 2016 	
character=Interviewee 	name=Paula Reed	episodes=1 episode, 2016 	
character=Maggie	name=Kati Salowsky	episodes=1 episode, 2017 	
character=Walls	name=Scott Vance	episodes=1 episode, 2017 	
character=Matt Skokie	name=Grant Merritt	episodes=1 episode, 2015 	
character=Guy	name=Jeff Swearingen	episodes=1 episode, 2015 	
character=Sara Burnley	name=Rourke	episodes=1 episode, 2015 	
character=Sara Burnley	name=Susan O	episodes=1 episode, 2015 	
character=Alejandro	name=Mario Ramirez	episodes=1 episode, 2016 	
character=Interviewee 	name=Miah Register	episodes=1 episode, 2016 	
character=Navarro	name=Manuel Uriza	episodes=1 episode, 2017 	
character=Mike Narasaki	name=Scott Takeda	episodes=1 episode, 2015 	
character=Judge Perez	name=Pablo Esparza	episodes=1 episode, 2015 	
character=Peggy	name=Nadine Mozon	episodes=1 episode, 2015 	
character=Miguel	name=Lupe Trejo	episodes=1 episode, 2015 	
character=Juarez	name=Melinda Peinado	episodes=1 episode, 2016 	
character=Lena	name=Kate Wharton	episodes=1 episode, 2017 	
character=Surgeon	name=Sonya Van Sickle	episodes=1 episode, 2015 	
character=Mexican Bailiff	name=Randy De Hoyos	episodes=1 episode, 2015 	
character=Modesto Police Officer	name=Dan Silver	episodes=1 episode, 2015 	
character=Enraged Driver	name=Trenton Rostedt	episodes=1 episode, 2016 	
character=Manny	name=Vernon Tuck	episodes=1 episode, 2015 	
character=Attendant	name=Rebecca McInroy	episodes=1 episode, 2015 	
character=Seth	name=Jeffrey Schmidt	episodes=1 episode, 2016 	
character=Lisa	name=Kerbey Smith	episodes=1 episode, 2016 	
character=Jose	name=Christopher Eric Ruiz	episodes=1 episode, 2016 	
character=Darrel	name=Jack Watkins	episodes=1 episode, 2015 	
character=Electronic Voice	name=Staci Snell	episodes=1 episode, 2015 	
character=Sean	name=Renwick D. Scott II	episodes=1 episode, 2016 	
character=Opposing Fan 	name=Henry J. Smith III	episodes=1 episode, 2016 	
character=Jeff	name=Aaron Spivey-Sorrells	episodes=1 episode, 2016 	
character=Rec Center Player 	name=Nelson Thomas	episodes=1 episode, 2016 	
character=Rec Center Player 	name=Chris Zurcher	episodes=1 episode, 2016 	
character=Hess	name=Jason Douglas	episodes=1 episode, 2015 	
character=Diny	name=Ainsley Bailey	episodes=1 episode, 2015 	
character=Marquot	name=Van Quattro	episodes=1 episode, 2015 	
character=Segment Producer	name=Blaise Miller	episodes=1 episode, 2015 	
character=Woman Customer	name=Kathy Rose Center	episodes=1 episode, 2015 	
character=Kaylie	name=Lori Z. Cordova	episodes=1 episode, 2015 	
character=Barris	name=Curtis Wayne	episodes=1 episode, 2015 	
character=Dr. Aloysius Jones	name=Jay Moses	episodes=1 episode, 2015 	
character=ICU Nurse	name=Ginger Joy	episodes=1 episode, 2015 	
character=Nena	name=Lisandra Ortega	episodes=1 episode, 2015 	
character=Cheerleader	name=Katie Mae Peters	episodes=1 episode, 2015 	
character=News Reporter	name=Victor Diaz	episodes=1 episode, 2015 	
character=Diane	name=Valerie Frazee	episodes=1 episode, 2015 	
character=CO in Hallway	name=Grady McCardell	episodes=1 episode, 2015 	
character=Keal	name=Brady Alland	episodes=1 episode, 2015 	
character=Olson	name=Steve Mokate	episodes=1 episode, 2016 	
character=VP Gamboa	name=Aaron D. Alexander	episodes=1 episode, 2016 	
character=School Administrator	name=Brian Shorkey	episodes=1 episode, 2016 	
character=Leyland Board Member	name=Michael David Yuhl	episodes=1 episode, 2016 	
character=Student	name=Caitlyn Moore	episodes=1 episode, 2016 	
character=Davis	name=Raj Vats	episodes=1 episode, 2016 	
character=Wealthy cocktail party guest	name=Susanna Lee	episodes=1 episode, 2016 	
character=Police Officer	name=Kc Okoro	episodes=1 episode, 2016 	
character=Terri	name=Jack McConnell	episodes=1 episode, 2016 	
character=Employee	name=Jack McConnell	episodes=1 episode, 2016 	
character=Criminal Oliver	name=Daniel Alfredo Ojeda	episodes=1 episode, 2016 	
character=Formal Guest	name=Adam Madrigal	episodes=1 episode, 2016 	
character=Restaurant Guest	name=Nathan Orton	episodes=1 episode, 2016 	
character=Patron	name=Victoria Kraus	episodes=1 episode, 2016 	
character=Gala Patron	name=Autumn Caro	episodes=1 episode, 2016 	
character=Basketball Game Spectator	name=Jash Saunders	episodes=1 episode, 2016 	
character=Skateboarder	name=Jude Orozco	episodes=1 episode, 2016 	
character=Marshall High School Student	name=Jeffry Saenz	episodes=1 episode, 2016 	
character=Marshall High Protester	name=Aaron Vasquez	episodes=1 episode, 2016 	
character=Restaurant Guest	name=Conor Duffy	episodes=1 episode, 2016 	
character=Poetry Slam Guest	name=Ector Joel Acosta	episodes=1 episode, 2016 	
character=High School Student	name=Emanuel Garcia	episodes=1 episode, 2016 	
character=Assistant Basketball Coach	name=Jason Gish	episodes=1 episode, 2016 	
character=Sobbing Girl	name=Rachel Dionne	episodes=1 episode, 2016 	
character=Crying Student	name=Natalie Tischler	episodes=1 episode, 2016 	
character=David Kendall	name=Peter Oldring	episodes=1 episode, 2017 	
character=Churchgoer	name=Heather Materne	episodes=6 episodes, 2015-2016 	
character=Churchgoer	name=Robert T. Yarborough	episodes=5 episodes, 2015-2016 	
character=Citizen	name=Cherif Gacis	episodes=4 episodes, 2015-2016 	
character=ICU Nurse	name=Stan Taylor	episodes=4 episodes, 2015-2016 	
character=Barb Supporter	name=Rebecca Chulew	episodes=4 episodes, 2015 	
character=Barb Supporter	name=Lizzy Pop Muro	episodes=4 episodes, 2015 	
character=Boardmember	name=Deborah Alcorn	episodes=4 episodes, 2016 	
character=Leyland Student	name=Christina Boswell	episodes=4 episodes, 2016 	
character=Fan	name=Michelle Smith	episodes=3 episodes, 2015-2016 	
character=Basilah	name=Sharon D. Bailey	episodes=3 episodes, 2015 	
character=Leyland Student	name=Saige Holst	episodes=3 episodes, 2016 	
character=Classroom Parent	name=Lawrence Delgado	episodes=3 episodes, 2016 	
character=Parent	name=Leah Mantanona	episodes=3 episodes, 2016 	
character=Bar Patron	name=Margaret Newborn	episodes=3 episodes, 2017 	
character=Gala Patron	name=Laura L. Martin	episodes=2 episodes, 2015-2016 	
character=Bar Hipster	name=Holly Jee	episodes=2 episodes, 2015-2016 	
character=Churchgoer	name=Ross	episodes=2 episodes, 2015 	
character=Churchgoer	name=DeLeon	episodes=2 episodes, 2015 	
